Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.009999999999999998,0.45881443878774003,214.43694321526002,6986,6986.0,1,5.559436594003629e-07,5.153293674442181e-07
2,0.009999999999999997,0.45892356857939004,214.53965218408,6980,6980.0,1,5.173458982438987e-07,4.7431428190107035e-07
3,0.009999999999999998,0.46005131453999,214.13557646044998,6964,6964.0,1,5.42727019934439e-07,4.985725828586935e-07
4,0.009999999999999998,0.45822926865014,214.74244415951,6990,6990.0,1,5.253609550333913e-07,4.855450375081186e-07
5,0.009999999999999997,0.45556556934895004,215.76721379025003,7021,7021.0,1,4.843495889085863e-07,4.417638316252484e-07
6,0.009999999999999998,0.45906016746378003,214.45992229522,6978,6978.0,1,5.278691282512971e-07,4.87098969736255e-07
7,0.009999999999999998,0.45928191523574,214.27214394371998,6979,6979.0,1,5.275252427405315e-07,4.876548696261211e-07
8,0.009999999999999998,0.45799523112553,214.97797274963,6987,6987.0,1,5.155157134621502e-07,4.7209631136619353e-07
9,0.009999999999999998,0.45752355339558004,215.13509657781003,6996,6996.0,1,5.273412320862404e-07,4.841632487473813e-07
10,0.009999999999999998,0.45846074782566,214.77689731112,6985,6985.0,1,4.860962655457606e-07,4.447996626452226e-07
11,0.009999999999999997,0.45727156379826,215.11387347042,7002,7002.0,1,4.924539839080562e-07,4.5208895475828103e-07
12,0.009999999999999998,0.45622296002878004,215.58042355487,7010,7010.0,1,4.955552906490236e-07,4.5560954364429077e-07
13,0.01,0.45935637931320006,214.3305010665,6966,6966.0,1,5.221247123402863e-07,4.823619291695396e-07
14,0.009999999999999997,0.45586298687158006,215.65633960653,7016,7016.0,1,4.930589129358261e-07,4.516326100162386e-07
15,0.009999999999999998,0.45899740145339,214.23730216554,6981,6981.0,1,5.174169343093913e-07,4.7581892546234367e-07
16,0.009999999999999998,0.4564700172782,215.48394502697,7008,7008.0,1,5.094890668373738e-07,4.677821462734167e-07
17,0.009999999999999998,0.4577547422903,214.98824112757,6990,6990.0,1,5.259049084652843e-07,4.827845104634605e-07
18,0.009999999999999998,0.45748701830559,214.97992506051997,7001,7001.0,1,5.110173374414926e-07,4.6876105380400386e-07
19,0.009999999999999998,0.45749283841082,215.02539639347,6998,6998.0,1,5.200230464588915e-07,4.776937430047897e-07
20,0.01,0.46109674872152,213.65434376476003,6950,6950.0,1,5.712895628913504e-07,5.261261449914834e-07
