Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.004621744293647799,0.87982438298875,123.7299964651,6530,6530.0,1,5.9471143708271205e-06,5.748558585321761e-06
2,0.004627577890633934,0.87940477483209,123.89155883251999,6539,6539.0,1,5.919657816569815e-06,5.683078034621253e-06
3,0.0046125746358285325,0.8797372102900699,123.92317595171998,6555,6555.0,1,5.935503317989685e-06,5.699248689862987e-06
4,0.004649349545796307,0.87855180643555,124.63092420344,6542,6542.0,1,5.883781323260657e-06,5.647657892699913e-06
5,0.0046323839335344,0.87957553927734,123.85055017629,6530,6530.0,1,5.918068782610248e-06,5.681071122803145e-06
6,0.004602408302041358,0.8800618609283599,123.30535972685,6537,6537.0,1,6.038925298009056e-06,5.797916627969818e-06
7,0.004601072119609475,0.8801640112506899,123.56122051851001,6551,6551.0,1,5.924789631441218e-06,5.686470729779884e-06
8,0.004633139660404934,0.8789124146583,124.33398393238001,6547,6547.0,1,5.849184252530517e-06,5.613125166508321e-06
9,0.004617453671942556,0.8796767368221401,124.05556294696001,6555,6555.0,1,5.938079483128864e-06,5.70229983279882e-06
10,0.004657823267023804,0.87824490061977,124.42848559488002,6528,6528.0,1,5.924754595716427e-06,5.68743691454217e-06
11,0.004601882150268689,0.88012021563153,123.81541646331002,6569,6569.0,1,5.89743706237618e-06,5.6605565967994375e-06
12,0.004609345373835024,0.8795293075674799,124.05886306632,6564,6564.0,1,5.903205373780058e-06,5.666230080439751e-06
13,0.004623221875947567,0.87965064084793,123.62281318855,6524,6524.0,1,5.931992394395673e-06,5.694610231574173e-06
14,0.0045917489526722055,0.8805768710370601,123.2482728552,6549,6549.0,1,5.988314547130062e-06,5.748694761198598e-06
15,0.00464308898798091,0.87859797535174,124.75774376183,6552,6552.0,1,5.81356977560008e-06,5.579276507163637e-06
16,0.004596467265050887,0.88066096224886,123.16075443945,6534,6534.0,1,6.020117035902556e-06,5.781404513897073e-06
17,0.0046265908929028245,0.87935542721625,123.75585796643,6527,6527.0,1,5.956900622647457e-06,5.718608205123468e-06
18,0.004612349190585056,0.87966105612582,123.829296947,6553,6553.0,1,5.903060941422052e-06,5.665292602564405e-06
19,0.004626229232739014,0.8792616210381401,124.08147284003999,6550,6550.0,1,5.919287148460944e-06,5.680187334594532e-06
20,0.004621971876467079,0.8793089242372499,123.84702254806001,6535,6535.0,1,5.92380352320657e-06,5.685694063245819e-06
21,0.004604668687556455,0.88023050062444,123.32762488873001,6531,6531.0,1,6.005347448682499e-06,5.766642911339902e-06
22,0.004636480738108077,0.8787956253147701,124.51793773621,6555,6555.0,1,5.874527606868519e-06,5.639955225769827e-06
23,0.004637407201180893,0.87872772523514,124.38167960946998,6546,6546.0,1,5.901808981384249e-06,5.666706050897542e-06
24,0.004606513632004092,0.87989948449916,123.77901648883999,6561,6561.0,1,5.943723100691159e-06,5.704770027747518e-06
