Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.00525336396089033,0.74361532644849,188.89620108695,10230,10230.0,1,1.93950777718445e-06,1.85902883893109e-06
2,0.005252468905893615,0.74411376996463,188.09085372502,10199,10199.0,1,1.9343018940637483e-06,1.8435526625221656e-06
3,0.005254523116845521,0.74345688591199,188.72162580071,10219,10219.0,1,1.933444988981328e-06,1.8430976061293904e-06
4,0.00528296865902246,0.74179936978186,189.41403248833998,10207,10207.0,1,1.9107958596311847e-06,1.8213151390892955e-06
5,0.00527413177413967,0.7431154051952,188.55222722268002,10182,10182.0,1,1.9200425139103497e-06,1.8300765970797886e-06
6,0.005256025094341581,0.74391924372156,187.91815516698998,10175,10175.0,1,1.9261354634881752e-06,1.8356608342694269e-06
7,0.005248374364681008,0.74522571817799,188.00737950327,10198,10198.0,1,1.9376504798123695e-06,1.8473037325616e-06
8,0.0052725351898947745,0.7423616391542099,189.24762205256002,10218,10218.0,1,1.897461075809297e-06,1.807762501934081e-06
9,0.005247767599396607,0.74403370909448,188.85819062533,10246,10246.0,1,1.920659706701993e-06,1.8303681642373905e-06
10,0.005274451119475311,0.7422841984260901,188.85287360868,10200,10200.0,1,1.930053558890019e-06,1.8405295950264436e-06
11,0.005243043006282819,0.7445229374001099,188.64409603132,10241,10241.0,1,1.9359583366271816e-06,1.8452664099080546e-06
12,0.00524846219297958,0.74385675773525,188.54638959551997,10223,10223.0,1,1.9205984354951287e-06,1.830197549874575e-06
13,0.005271534886368362,0.74298413234528,188.8424806148,10198,10198.0,1,1.932246154446989e-06,1.8424452261629732e-06
14,0.0052342479774289226,0.7443828941754301,188.58026480571,10252,10252.0,1,1.9391457681175777e-06,1.8485051277173978e-06
15,0.005277086423566556,0.74227670429628,189.41227133095,10211,10211.0,1,1.8972685972301206e-06,1.8080212690401494e-06
16,0.00523758079481315,0.7461300082053199,187.23721352632,10179,10179.0,1,1.9691886666181192e-06,1.877115600993749e-06
17,0.005270629687535227,0.74272036558522,188.75869723653,10199,10199.0,1,1.9215255118126252e-06,1.831068055648538e-06
18,0.005232330921559857,0.74501608848259,187.89440010034,10217,10217.0,1,1.9530710289808768e-06,1.8622001961525708e-06
19,0.005248675068802025,0.74411562949838,188.11684622445,10197,10197.0,1,1.9384375948328876e-06,1.8481759994092342e-06
20,0.005237457475541779,0.7449565604175301,187.56463110117,10191,10191.0,1,1.938764846462198e-06,1.8478331811425005e-06
21,0.00526382154964662,0.74329960369507,189.10080997103,10221,10221.0,1,1.9126466948767853e-06,1.8227395316977837e-06
22,0.005245222556097382,0.7446766218785,188.28710887634998,10217,10217.0,1,1.936128028543428e-06,1.8453239995498435e-06
23,0.005268722938600585,0.74294628334354,188.71727100286998,10200,10200.0,1,1.922530009256045e-06,1.832638671112398e-06
24,0.005253975102138901,0.74433689144252,188.31703662493,10206,10206.0,1,1.9250214623620468e-06,1.834947119982797e-06
