Seed,Blobiness,M0,M1,M2
1,1,0.106432,3604.4877323527903,-15
1,1,0.198068,5519.696064623253,-20
1,1,0.29686,7118.873913621665,-17
1,1,0.393992,8091.386719675123,-5
1,1,0.492628,8485.64259969159,5
1,1,0.5949,8472.13902835412,19
1,1,0.699756,8043.367383691368,32
1,1,0.80762,6778.166194095841,38
1,1,0.9076,4552.380084614465,31
1,1,0.999996,1996.8284271247464,1
1,2,0.10026,6334.308329719572,-97
1,2,0.203288,10539.11795926681,-96
1,2,0.304768,13187.613700846314,-67
1,2,0.4008,14668.22405337033,-24
1,2,0.495608,15345.185560871569,8
1,2,0.595948,15503.29320860989,60
1,2,0.698872,14288.294075161668,114
1,2,0.798736,11954.14757598708,125
1,2,0.90202,8204.154180255771,115
1,2,0.999996,1996.8284271247464,1
1,3,0.099592,9272.485312166207,-232
1,3,0.20186,15158.5753878163,-221
1,3,0.299984,18994.61441872131,-163
1,3,0.398128,21374.962974043203,-81
1,3,0.496944,22784.686024939423,17
1,3,0.596296,22636.04136399875,117
1,3,0.696424,21081.97621337255,207
1,3,0.800244,17681.45399313435,287
1,3,0.904284,11664.060310253042,263
1,3,0.999996,1996.8284271247464,1
1,4,0.098936,11667.482533042128,-415
1,4,0.199296,19386.20630181335,-424
1,4,0.298804,24714.41412646953,-304
1,4,0.397372,28165.667406830667,-145
1,4,0.496804,30041.54182806661,39
1,4,0.597544,29950.69110636528,237
1,4,0.698712,27767.677687567186,373
1,4,0.80038,23579.08735810995,502
1,4,0.90368,15429.36340986998,481
1,4,0.999996,2000.2426406871195,1
1,5,0.098696,13782.541587013922,-660
1,5,0.198004,23448.06661716817,-698
1,5,0.298776,30244.15182165313,-497
1,5,0.398276,34675.04279974874,-240
1,5,0.498004,37029.24626085407,50
1,5,0.597948,37186.942833091605,332
1,5,0.699156,34811.102033189294,629
1,5,0.800104,29302.68919379297,796
1,5,0.901708,19392.64526093085,750
1,5,0.999996,1996.8284271247464,1
1,6,0.09926,15613.878815578768,-941
1,6,0.198512,26930.130901242595,-991
1,6,0.298684,35449.74319713088,-733
1,6,0.398256,40990.86584809408,-369
1,6,0.499192,43961.04005141664,65
1,6,0.598704,44023.73052699975,505
1,6,0.699728,41322.71101154725,928
1,6,0.799636,35108.85556735757,1159
1,6,0.900352,23388.087537578696,1073
1,6,0.999996,1996.8284271247464,1
1,7,0.099672,17171.200712773214,-1280
1,7,0.199444,30220.218525914137,-1379
1,7,0.298716,39880.561881925365,-1055
1,7,0.399352,46740.43197040242,-500
1,7,0.499388,50400.19509822418,111
1,7,0.599304,50879.93748510416,733
1,7,0.699856,47740.17489568864,1234
1,7,0.799564,40381.1375978872,1537
1,7,0.89948,27453.524763592657,1457
1,7,0.999996,1996.8284271247464,1
1,8,0.100344,18562.746960691555,-1667
1,8,0.200372,33077.74962193082,-1777
1,8,0.299756,44001.49117305099,-1370
1,8,0.399492,51930.424320113205,-653
1,8,0.4993,56443.938890062185,165
1,8,0.599896,57337.20122567056,959
1,8,0.699168,54139.12806581764,1631
1,8,0.799492,45855.60949125531,2013
1,8,0.899144,31201.7538368049,1856
1,8,0.999996,2001.6568542494924,1
1,9,0.100836,19578.03123193901,-2105
1,9,0.200988,35416.91823621324,-2212
1,9,0.300536,47753.214223947216,-1706
1,9,0.399632,56606.21147561511,-825
1,9,0.499356,62138.60743000622,230
1,9,0.599592,63326.79278061707,1242
1,9,0.698756,60096.58376126358,2022
1,9,0.79894,51170.081384623416,2524
1,9,0.89864,34830.024540577484,2293
1,9,0.999996,2001.6568542494924,1
1,10,0.10106,20222.75706195932,-2575
1,10,0.201488,37393.91318557937,-2697
1,10,0.300836,50748.07017575119,-2057
1,10,0.400096,60869.66959124763,-936
1,10,0.500216,66931.67885675559,333
1,10,0.598792,68907.7964570849,1561
1,10,0.6985,65648.3895656662,2553
1,10,0.798244,56308.66998097709,3094
1,10,0.898284,38567.681066681456,2797
1,10,0.999996,2001.6568542494924,1
2,1,0.09288,3270.331311379186,-21
2,1,0.19462,5778.963091928012,-25
2,1,0.302264,7274.046532517445,-9
2,1,0.404612,8012.8486604522495,-4
2,1,0.51558,8383.074057196665,20
2,1,0.622532,7978.598877090192,30
2,1,0.71752,7269.962225376234,34
2,1,0.811396,6023.630047445271,35
2,1,0.895208,4606.072472769891,29
2,1,0.999996,1995.414213562373,1
2,2,0.10316,6663.23325729435,-98
2,2,0.200864,10694.794149500058,-114
2,2,0.302208,13496.332567660433,-78
2,2,0.40102,15104.46983211903,-36
2,2,0.499084,15861.53289070418,8
2,2,0.59742,15944.414095677565,72
2,2,0.697732,14590.053526515603,118
2,2,0.794492,12135.989242441176,133
2,2,0.895908,8883.826365875662,138
2,2,0.999996,1996.8284271247464,1
2,3,0.100152,9346.165507012814,-243
2,3,0.200788,15039.994652012556,-250
2,3,0.300564,19183.82361754355,-190
2,3,0.402668,21818.13768498004,-70
2,3,0.503084,22849.43328298454,33
2,3,0.601316,22651.131767794377,147
2,3,0.698296,20819.852367712043,204
2,3,0.797132,17841.08750678673,281
2,3,0.898088,12461.430980682766,297
2,3,0.999996,1996.8284271247464,1
2,4,0.098472,11776.89064995009,-430
2,4,0.198796,19428.79923092592,-441
2,4,0.30096,25171.48728632245,-324
2,4,0.402512,28588.24918865493,-147
2,4,0.503524,30064.58955528136,37
2,4,0.603152,29594.12761450424,233
2,4,0.700728,27613.54774525227,399
2,4,0.79944,23106.196918420577,502
2,4,0.897916,15734.39389314203,458
2,4,0.999996,1996.8284271247464,1
2,5,0.097748,13765.90302272766,-658
2,5,0.19856,23552.394611017025,-698
2,5,0.300084,30627.41989497841,-518
2,5,0.402444,35273.04193319697,-214
2,5,0.502644,37230.00571220801,59
2,5,0.602792,36849.00885026959,400
2,5,0.701752,33959.25217803974,626
2,5,0.800196,28614.7926574492,784
2,5,0.89864,19663.90514556068,745
2,5,0.999996,1996.8284271247464,1
2,6,0.098356,15599.20872199993,-947
2,6,0.199068,27312.50662230621,-1019
2,6,0.30082,35782.66098203073,-750
2,6,0.401676,41294.910616716,-330
2,6,0.501348,43992.926307023896,90
2,6,0.601856,44040.54885285674,560
2,6,0.70188,40746.10188451252,915
2,6,0.800788,34225.182335717145,1119
2,6,0.898088,23300.109832155285,1035
2,6,0.999996,1996.8284271247464,1
2,7,0.098728,17193.235200658622,-1288
2,7,0.199932,30482.631693455987,-1357
2,7,0.301588,40441.88987577422,-1024
2,7,0.402068,46984.711191016,-454
2,7,0.501464,50406.00018475181,106
2,7,0.60094,50870.90299721876,764
2,7,0.701076,47394.43478031847,1243
2,7,0.800056,39944.65632112631,1539
2,7,0.898428,26826.994713596498,1364
2,7,0.999996,1996.8284271247464,1
2,8,0.09936,18466.34894505136,-1675
2,8,0.200676,33279.732377988126,-1755
2,8,0.301012,44526.26786834763,-1330
2,8,0.401924,52154.47309334848,-604
2,8,0.501036,56485.00386121965,185
2,8,0.60044,57209.73318823902,990
2,8,0.699748,53802.77481879937,1637
2,8,0.799072,45527.68055906717,1983
2,8,0.898764,30630.082697205537,1777
2,8,0.999996,1996.8284271247464,1
2,9,0.099908,19480.531665214905,-2119
2,9,0.2013,35553.161922920895,-2264
2,9,0.301936,48183.77266517437,-1642
2,9,0.402496,56898.41457778293,-769
2,9,0.501376,62066.93333181402,249
2,9,0.599084,63236.49231144744,1233
2,9,0.698844,59956.75428811831,2047
2,9,0.798584,51031.461110300384,2522
2,9,0.89824,34519.98186399662,2264
2,9,0.999996,1996.8284271247464,1
2,10,0.100596,20221.638266932703,-2563
2,10,0.201992,37538.20459950177,-2712
2,10,0.302564,51191.05397782901,-1986
2,10,0.402792,61127.07579558328,-832
2,10,0.501056,66977.15508288259,297
2,10,0.599064,68676.2745957842,1478
2,10,0.697372,65727.59353438581,2524
2,10,0.797948,56320.61110647405,3106
2,10,0.898348,38150.583520210894,2782
2,10,0.999996,1996.8284271247464,1
3,1,0.08656,3417.13639790682,-24
3,1,0.19296,5741.234123846127,-25
3,1,0.306084,7328.441410096063,-18
3,1,0.417124,8128.758256656627,2
3,1,0.524604,8135.551149875441,16
3,1,0.623476,7696.767311903867,23
3,1,0.712356,6989.213921310594,26
3,1,0.801564,5956.291952328646,27
3,1,0.894968,4685.4755390439705,26
3,1,0.999996,1996.8284271247464,1
3,2,0.09864,6265.852485596857,-95
3,2,0.192424,9953.069186031533,-96
3,2,0.293012,12853.827950302437,-80
3,2,0.394948,14563.91748754628,-24
3,2,0.497208,15425.30540191871,27
3,2,0.600052,15246.10944242582,73
3,2,0.7016,13999.82098709625,117
3,2,0.804196,11546.83891812198,137
3,2,0.905856,7503.624130259609,107
3,2,0.999996,1996.8284271247464,1
3,3,0.099324,8742.306596616017,-218
3,3,0.194888,14585.206809427626,-223
3,3,0.293888,18805.728163114043,-185
3,3,0.394452,21544.840174403224,-91
3,3,0.495412,22631.75099609688,17
3,3,0.597008,22360.24742475941,133
3,3,0.698052,20713.867519613694,214
3,3,0.802532,17537.783899555514,297
3,3,0.904664,11466.175967218078,265
3,3,0.999996,1996.8284271247464,1
3,4,0.10008,11365.72412770872,-402
3,4,0.197436,19036.021489608745,-428
3,4,0.29684,24556.56026670662,-326
3,4,0.395624,27933.06123838876,-185
3,4,0.494816,29894.94175627911,-13
3,4,0.596332,29825.58850926084,198
3,4,0.699376,27839.740566683584,390
3,4,0.803084,23079.92884509529,507
3,4,0.902736,15398.983684193012,468
3,4,0.999996,1996.8284271247464,1
3,5,0.100432,13703.050208985273,-658
3,5,0.198792,23114.12444565069,-674
3,5,0.297456,29962.42180755072,-542
3,5,0.396992,34538.16559938872,-282
3,5,0.496732,36764.036016011305,17
3,5,0.59758,37174.22501229802,330
3,5,0.7008,34608.39640570452,611
3,5,0.802136,28919.45055771921,784
3,5,0.901624,19049.22895532743,695
3,5,0.999996,2001.6568542494924,1
3,6,0.10046,15667.002661239272,-910
3,6,0.19888,26759.29637746344,-992
3,6,0.29902,35034.369568108326,-777
3,6,0.397816,40622.23738507558,-402
3,6,0.498376,43735.000333428594,51
3,6,0.598992,43987.3285067462,504
3,6,0.700472,41215.52324074982,901
3,6,0.801528,34605.006758228534,1127
3,6,0.900068,23000.47527248238,1016
3,6,0.999996,2001.6568542494924,1
3,7,0.100384,17182.881953640346,-1255
3,7,0.199732,30065.41030132493,-1343
3,7,0.299532,39729.01877206861,-1014
3,7,0.398756,46267.99737483576,-542
3,7,0.498736,50120.41840292755,69
3,7,0.600008,50794.196323713455,712
3,7,0.700032,47803.70999631869,1216
3,7,0.7994,40197.08377401803,1512
3,7,0.899316,26834.355103289705,1351
3,7,0.999996,2001.6568542494924,1
3,8,0.100388,18517.31550318648,-1627
3,8,0.20078,33039.446014699606,-1750
3,8,0.30034,43962.25358299776,-1288
3,8,0.399256,51676.70249470626,-676
3,8,0.499648,56160.18048472878,117
3,8,0.599996,57100.376803159175,949
3,8,0.699224,53874.64992711834,1588
3,8,0.798492,45692.497838903626,1952
3,8,0.898732,30696.99333943044,1786
3,8,0.999996,2001.6568542494924,1
3,9,0.100564,19520.9296808551,-2076
3,9,0.201736,35602.70503277765,-2143
3,9,0.301932,47736.95329329687,-1629
3,9,0.399916,56491.92215373376,-814
3,9,0.499888,61785.67849781808,232
3,9,0.59948,63099.75115005672,1223
3,9,0.69776,59772.51669806507,2024
3,9,0.797144,50929.9737368851,2436
3,9,0.898432,34803.260038589666,2283
3,9,0.999996,2001.6568542494924,1
3,10,0.100868,20214.78144857696,-2571
3,10,0.202952,37589.21470076953,-2658
3,10,0.3025,50932.46714537086,-1945
3,10,0.401112,60587.067606887824,-971
3,10,0.499548,66884.87690828953,334
3,10,0.598896,68585.46950925655,1485
3,10,0.696676,65441.02499189089,2497
3,10,0.7962,56237.254721394194,3021
3,10,0.898148,38522.21703386327,2814
3,10,0.999996,2001.6568542494924,1
4,1,0.09062,3580.030842209548,-22
4,1,0.205332,6152.129614169382,-20
4,1,0.308956,7565.797795175916,-16
4,1,0.413536,8708.52990131938,-1
4,1,0.51768,8829.222289474805,15
4,1,0.61506,8667.156272296825,26
4,1,0.713456,8064.739966693398,36
4,1,0.808104,6862.798661727694,44
4,1,0.897612,5001.11514935076,36
4,1,0.999996,1995.414213562373,1
4,2,0.090376,6426.729685956881,-110
4,2,0.197656,10907.665253205672,-110
4,2,0.307728,14160.513375251676,-79
4,2,0.416256,15663.839456528229,-11
4,2,0.517616,15994.90042307233,34
4,2,0.6163,15550.56023591465,85
4,2,0.710956,14003.75496991827,116
4,2,0.803684,11615.679538555543,125
4,2,0.89482,8362.657751593239,111
4,2,0.999996,1996.8284271247464,1
4,3,0.095096,9407.540182055896,-272
4,3,0.200952,15831.519651374834,-251
4,3,0.303948,19849.85114222277,-183
4,3,0.405944,22371.46567882889,-83
4,3,0.508676,23229.76632746728,44
4,3,0.607624,22544.10233054285,171
4,3,0.704824,20697.005650624065,238
4,3,0.802604,17264.777802901102,304
4,3,0.897868,11684.757749042348,256
4,3,0.999996,1995.414213562373,1
4,4,0.09814,11885.7901448867,-444
4,4,0.199672,20077.90182803036,-438
4,4,0.301064,25364.397928547354,-331
4,4,0.40284,28919.88270230732,-148
4,4,0.504216,30460.63223186223,68
4,4,0.604912,30069.91754913022,284
4,4,0.703308,27396.54565321121,414
4,4,0.800312,22891.959328367346,508
4,4,0.898028,15723.127911857797,488
4,4,0.999996,1995.414213562373,1
4,5,0.098932,14037.4055480446,-693
4,5,0.199128,23709.398615630384,-704
4,5,0.30084,30944.31938991503,-526
4,5,0.402532,35449.93323943811,-242
4,5,0.503144,37610.49099358224,120
4,5,0.603116,37177.50527893213,389
4,5,0.701792,34345.12937839975,642
4,5,0.799604,28506.964230324447,778
4,5,0.898016,19705.983356047487,736
4,5,0.999996,1995.414213562373,1
4,6,0.099664,15941.056485108433,-945
4,6,0.200512,27462.76041028162,-1011
4,6,0.301568,35888.24171783447,-760
4,6,0.402252,41669.82840161584,-347
4,6,0.50246,44514.68575837783,116
4,6,0.601668,44335.53770556845,577
4,6,0.700456,41051.23896950236,918
4,6,0.799068,34326.51433417936,1109
4,6,0.89868,23444.454023926315,1051
4,6,0.999996,1995.414213562373,1
4,7,0.099432,17409.437256805926,-1291
4,7,0.200896,30627.195185317025,-1358
4,7,0.302348,40663.44831700138,-1051
4,7,0.403132,47288.36909128602,-482
4,7,0.501844,50729.97789017523,154
4,7,0.600736,51130.93052189798,762
4,7,0.699376,47702.02265879716,1231
4,7,0.798636,40150.5608666968,1538
4,7,0.899092,27161.43435979704,1407
4,7,0.999996,1995.414213562373,1
4,8,0.099824,18732.62311503105,-1698
4,8,0.20208,33594.4380054729,-1811
4,8,0.302988,44848.774577746684,-1294
4,8,0.403128,52600.74935536923,-577
4,8,0.501536,56654.4384567863,191
4,8,0.599504,57228.69974637414,926
4,8,0.698412,54196.34231527377,1626
4,8,0.798332,45952.918149120414,1994
4,8,0.89896,31133.546730023714,1855
4,8,0.999996,1995.414213562373,1
4,9,0.100476,19732.86575571817,-2145
4,9,0.203532,35979.25232671652,-2250
4,9,0.30376,48384.58088976359,-1611
4,9,0.403008,57241.96901439674,-748
4,9,0.50142,62086.397364632205,264
4,9,0.599132,63133.4740214842,1195
4,9,0.697648,60192.08628658052,2033
4,9,0.79752,51787.89570586704,2538
4,9,0.89854,35046.854013722754,2354
4,9,0.999996,1995.414213562373,1
4,10,0.101024,20432.94187416392,-2620
4,10,0.203928,38020.04016930144,-2712
4,10,0.304484,51497.62565838552,-1948
4,10,0.403668,61305.87583147704,-889
4,10,0.501368,67052.34703776211,318
4,10,0.598764,68524.17513674134,1504
4,10,0.697484,65876.30630454552,2503
4,10,0.796816,56897.90966307138,3098
4,10,0.898348,38876.52778376942,2885
4,10,0.999996,1995.414213562373,1
5,1,0.100632,3610.752667616496,-21
5,1,0.19812,5709.838200246983,-18
5,1,0.30272,7036.470847347585,-9
5,1,0.397852,7819.1541802557695,-4
5,1,0.496144,8414.97860276716,6
5,1,0.603648,8616.907534955295,24
5,1,0.70696,7754.275933875219,33
5,1,0.801952,6554.370162815448,38
5,1,0.898324,4883.628821955995,30
5,1,0.999996,1995.414213562373,1
5,2,0.102064,6487.238307928233,-96
5,2,0.20192,10631.78700682512,-104
5,2,0.303068,13405.68686069923,-71
5,2,0.40098,14873.841369100532,-20
5,2,0.497628,15465.749052732606,20
5,2,0.593752,15380.03227795954,73
5,2,0.691428,14428.253490621852,112
5,2,0.792048,12109.90598132049,129
5,2,0.896888,8610.74815538886,125
5,2,0.999996,2001.6568542494924,1
5,3,0.102304,9304.764532779787,-218
5,3,0.203464,15288.843461141583,-225
5,3,0.302668,19054.001287073213,-165
5,3,0.399932,21407.16607621104,-68
5,3,0.496248,22567.7631894057,15
5,3,0.593124,22495.082994559096,123
5,3,0.690856,20964.40262024374,202
5,3,0.792368,17965.305760856205,272
5,3,0.90074,12419.085742891206,289
5,3,0.999996,1996.8284271247464,1
5,4,0.101928,11813.772900943995,-413
5,4,0.20318,19537.3149955722,-415
5,4,0.303092,24915.552257479903,-300
5,4,0.399924,28069.84507636033,-132
5,4,0.49718,29607.924512336405,29
5,4,0.595112,29446.35196522813,213
5,4,0.692628,27720.94366885141,364
5,4,0.795032,23774.67209852705,487
5,4,0.90048,16160.38988852867,487
5,4,0.999996,1996.8284271247464,1
5,5,0.10112,14047.484804551928,-654
5,5,0.203516,23743.572280546687,-667
5,5,0.302732,30298.661489645005,-474
5,5,0.399892,34211.76357913517,-246
5,5,0.497236,36545.23911817914,40
5,5,0.596676,36578.70524303837,340
5,5,0.696008,34259.5080580562,595
5,5,0.796464,29258.546012148712,744
5,5,0.90032,19847.676790223435,743
5,5,0.999996,1996.8284271247464,1
5,6,0.10118,16026.33570572201,-964
5,6,0.202736,27326.53605955773,-956
5,6,0.301608,35223.02241774446,-696
