Seed,Blobiness,M0,M1,M2
10,2,0.5948,2856.674457129694,68
10,2,0.59425,5969.533726463989,65
10,2,0.5931444444444445,9206.895521115224,65
10,2,0.6028875,12401.529393705105,69
10,2,0.58826,15623.121635734637,58
10,2,0.60035,18403.908791236543,68
10,2,0.6061836734693877,22180.47578009665,72
10,2,0.5921078125,25716.93198315688,62
10,2,0.6017506172839506,27921.44496867908,70
10,2,0.5948,2856.674457129694,68
10,2,0.59425,5969.533726463989,65
10,2,0.5931444444444445,9206.895521115224,65
10,2,0.6028875,12401.529393705105,69
10,2,0.58826,15623.121635734637,58
10,2,0.60035,18403.908791236543,68
10,2,0.6061836734693877,22180.47578009665,72
10,2,0.5921078125,25716.93198315688,62
10,2,0.6017506172839506,27921.44496867908,70
10,2,0.5948,2856.674457129694,68
10,2,0.59425,5969.533726463989,65
10,2,0.5931444444444445,9206.895521115224,65
10,2,0.6028875,12401.529393705105,69
10,2,0.58826,15623.121635734637,58
10,2,0.60035,18403.908791236543,68
10,2,0.6061836734693877,22180.47578009665,72
10,2,0.5921078125,25716.93198315688,62
10,2,0.6017506172839506,27921.44496867908,70
10,2,0.5948,2856.674457129694,68
10,2,0.59425,5969.533726463989,65
10,2,0.5931444444444445,9206.895521115224,65
10,2,0.6028875,12401.529393705105,69
10,2,0.58826,15623.121635734637,58
10,2,0.60035,18403.908791236543,68
10,2,0.6061836734693877,22180.47578009665,72
10,2,0.5921078125,25716.93198315688,62
10,2,0.6017506172839506,27921.44496867908,70
10,2,0.5948,2856.674457129694,68
10,2,0.59425,5969.533726463989,65
10,2,0.5931444444444445,9206.895521115224,65
10,2,0.6028875,12401.529393705105,69
10,2,0.58826,15623.121635734637,58
10,2,0.60035,18403.908791236543,68
10,2,0.6061836734693877,22180.47578009665,72
10,2,0.5921078125,25716.93198315688,62
10,2,0.6017506172839506,27921.44496867908,70
