Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007978845608028652,0.86010524205034,112.65367970178002,5754,5754.0,1,6.088972509959985e-06,5.892707235590781e-06
2,0.007978845608028654,0.71530177658062,160.29465805032,5748,5748.0,1,2.6480958571701666e-06,2.537068802126848e-06
3,0.007978845608028652,0.7150925506458101,160.43346548347,5752,5752.0,1,2.663924897524118e-06,2.552712124028467e-06
4,0.007978845608028652,0.71530116668812,160.21535809877,5750,5750.0,1,2.6301850502312993e-06,2.5195483314982437e-06
5,0.007978845608028652,0.71529025462038,160.2223005173,5746,5746.0,1,2.628206986141898e-06,2.5187400093950167e-06
6,0.007978845608028652,0.71511022457642,160.32990404101002,5754,5754.0,1,2.6581105517217604e-06,2.546872893275305e-06
7,0.007978845608028652,0.71524001813308,160.28278355857,5749,5749.0,1,2.675116200551149e-06,2.563915100193393e-06
8,0.007978845608028652,0.715403008507,160.19618935937,5742,5742.0,1,2.6880176145785443e-06,2.5752608022027535e-06
9,0.007978845608028652,0.7154239458937199,160.18412685165,5745,5745.0,1,2.639125969082515e-06,2.527434164538317e-06
10,0.007978845608028652,0.7145673249592399,160.63613630688,5765,5765.0,1,2.590210126640729e-06,2.4805754399187067e-06
11,0.007978845608028652,0.7148698928703101,160.51662255954,5757,5757.0,1,2.626756292806926e-06,2.516366743547623e-06
12,0.007978845608028654,0.71522448793872,160.33030829088003,5748,5748.0,1,2.6733307641813037e-06,2.562327864604266e-06
13,0.007978845608028652,0.71533334888159,160.26377728251998,5742,5742.0,1,2.6455232703525985e-06,2.535945202895163e-06
14,0.007978845608028654,0.71536628544625,160.23086338308997,5744,5744.0,1,2.5953937068345426e-06,2.4842754413994953e-06
15,0.007978845608028652,0.7153233116468101,160.20131363245,5749,5749.0,1,2.703452166390926e-06,2.5912996782191003e-06
16,0.007978845608028652,0.7149920374511801,160.3635310802,5754,5754.0,1,2.649479646354729e-06,2.5370192315643196e-06
17,0.007978845608028652,0.71477254915342,160.58524151027,5754,5754.0,1,2.6347887809906234e-06,2.5234093738804995e-06
18,0.007978845608028654,0.71485785149675,160.46423027168998,5759,5759.0,1,2.652133448521156e-06,2.539173717895232e-06
19,0.007978845608028654,0.7152364075135501,160.28686820578002,5751,5751.0,1,2.6546022563742743e-06,2.543630389136383e-06
20,0.007978845608028652,0.71554102496895,160.15806560145,5742,5742.0,1,2.6669244232879705e-06,2.5563302714265393e-06
21,0.007978845608028652,0.7147113654580199,160.53989991187,5757,5757.0,1,2.636739924502699e-06,2.524621210189897e-06
22,0.007978845608028654,0.7152563060797601,160.33146032255,5748,5748.0,1,2.6524201470059357e-06,2.5413652297429736e-06
23,0.007978845608028652,0.71480702553941,160.44487228561002,5756,5756.0,1,2.6636033640878468e-06,2.5529550158036157e-06
24,0.007978845608028652,0.71516362184825,160.37131104603,5750,5750.0,1,2.6438145212594424e-06,2.5339646685379497e-06
25,0.007978845608028652,0.7150972930060001,160.39147381408998,5753,5753.0,1,2.59982801667423e-06,2.4899498472799564e-06
