Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.00619793784720705,0.91554699588052,101.93236419834999,5754,5754.0,1,8.360799679569094e-06,8.086288647979518e-06
2,0.006197937847207051,0.82808533419355,145.15107772747,5748,5748.0,1,4.496772860694994e-06,4.298421494503296e-06
3,0.00619793784720705,0.82794705343913,145.29807490253,5752,5752.0,1,4.50085712220373e-06,4.301954319163067e-06
4,0.00619793784720705,0.8280161038493499,145.18770636879998,5750,5750.0,1,4.482071918769136e-06,4.283752007038558e-06
5,0.00619793784720705,0.8280391214766399,145.15986770202,5746,5746.0,1,4.48615843920449e-06,4.286304628043868e-06
6,0.00619793784720705,0.82791861237343,145.23737279305,5754,5754.0,1,4.504453854761876e-06,4.303341173540743e-06
7,0.00619793784720705,0.8280281763514599,145.20004954137,5749,5749.0,1,4.5098619118691255e-06,4.309375920179953e-06
8,0.00619793784720705,0.82802686501655,145.16814171008002,5742,5742.0,1,4.526191859267745e-06,4.326391009946034e-06
9,0.00619793784720705,0.8281056450094899,145.15148893228002,5745,5745.0,1,4.489096844419529e-06,4.288893021382554e-06
10,0.00619793784720705,0.82760654995068,145.55097421934,5765,5765.0,1,4.419942569422139e-06,4.221212172453795e-06
11,0.00619793784720705,0.8277038064295099,145.41433022563,5757,5757.0,1,4.464420385545246e-06,4.265477499682217e-06
12,0.006197937847207051,0.8279874107715699,145.22392882578,5748,5748.0,1,4.502952990915594e-06,4.304681316576465e-06
13,0.00619793784720705,0.82804750688004,145.20261307912,5742,5742.0,1,4.477841220499154e-06,4.278530003257593e-06
14,0.006197937847207051,0.82807367836051,145.17296133083,5744,5744.0,1,4.432899364827407e-06,4.233286943035349e-06
15,0.00619793784720705,0.82802327445284,145.16400732705,5749,5749.0,1,4.524050563907373e-06,4.322930957180443e-06
16,0.00619793784720705,0.82779757401162,145.34181751933,5754,5754.0,1,4.492917379901614e-06,4.292570922542858e-06
17,0.00619793784720705,0.82775299089123,145.46069839828002,5754,5754.0,1,4.456661622820704e-06,4.258867897389738e-06
18,0.006197937847207051,0.8277495701179899,145.38678032561,5759,5759.0,1,4.498072054242894e-06,4.299512400750509e-06
19,0.006197937847207051,0.82798401106072,145.25067439777,5751,5751.0,1,4.4860895926422725e-06,4.286306036746567e-06
20,0.00619793784720705,0.82820590942204,145.06918364889998,5742,5742.0,1,4.485756155410661e-06,4.2876022599197135e-06
21,0.00619793784720705,0.82761513906861,145.48387986681,5757,5757.0,1,4.485666445203873e-06,4.285529162699101e-06
22,0.006197937847207051,0.8280243240592999,145.2648267226,5748,5748.0,1,4.479901579436502e-06,4.2819614650015765e-06
23,0.00619793784720705,0.82768186026315,145.41968310693997,5756,5756.0,1,4.481727147794363e-06,4.282362978517732e-06
24,0.00619793784720705,0.8279406698750099,145.24412020213,5750,5750.0,1,4.467085834156742e-06,4.26891752310449e-06
25,0.00619793784720705,0.82789934607244,145.26212051605,5753,5753.0,1,4.459311308763213e-06,4.26110609644995e-06
