Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.92,20.531985306165296,1
50,100,0.95,10,0.84,21.317383469562746,2
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.88,18.865904204355907,3
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.92,21.317383469562746,2
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.84,23.99890053089723,3
50,100,0.95,10,0.8,19.09594200048356,4
50,100,0.95,10,0.84,19.65130236775336,4
50,100,0.95,10,0.92,18.08050604095846,2
50,100,0.95,10,0.88,19.976624938895498,2
50,100,0.95,10,0.8,22.88817979635764,4
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.84,23.99890053089723,3
50,100,0.95,10,0.92,21.317383469562746,2
50,100,0.95,10,0.88,20.762023102292943,3
50,100,0.95,10,0.84,22.10278163296019,3
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.92,18.635866408228253,1
50,100,0.95,10,0.8,19.976624938895498,2
50,100,0.95,10,0.88,21.5474212656904,3
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.88,21.5474212656904,3
50,100,0.95,10,0.84,20.762023102292947,2
50,100,0.95,10,0.84,25.89501942883427,3
50,100,0.95,10,0.8,23.44354016362744,3
50,100,0.95,10,0.8,23.11821759248529,5
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,0.84,24.78429869429468,3
50,100,0.95,10,0.8,19.65130236775336,3
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.88,17.525145673688662,3
50,100,0.95,10,0.92,20.762023102292947,2
50,100,0.95,10,0.92,18.865904204355907,2
50,100,0.95,10,0.84,21.317383469562746,3
50,100,0.95,10,0.84,24.554260898167023,2
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.92,18.08050604095846,2
50,100,0.95,10,0.76,25.56969685769213,4
50,100,0.95,10,0.84,18.865904204355907,3
50,100,0.95,10,0.84,23.213502367499785,2
50,100,0.95,10,0.92,21.317383469562746,2
50,100,0.95,10,0.76,22.56285722521549,5
50,100,0.95,10,0.88,20.762023102292943,3
50,100,0.95,10,0.88,20.762023102292943,3
50,100,0.95,10,0.92,21.317383469562746,2
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.88,20.762023102292947,3
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.84,20.20666273502315,3
50,100,0.95,10,0.92,20.531985306165296,1
50,100,0.95,10,0.88,21.5474212656904,3
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.72,24.228938327024885,5
50,100,0.95,10,0.92,18.08050604095846,2
50,100,0.95,10,0.84,18.865904204355907,3
50,100,0.95,10,0.88,18.865904204355907,3
50,100,0.95,10,1.0,17.850468244830807,0
50,100,0.95,10,0.96,20.531985306165296,1
50,100,0.95,10,0.84,18.310543837086115,4
50,100,0.95,10,0.92,20.762023102292943,2
50,100,0.95,10,0.84,20.20666273502315,4
50,100,0.95,10,0.8,23.99890053089723,3
50,100,0.95,10,0.88,19.421264571625706,2
50,100,0.95,10,0.88,18.635866408228253,1
50,100,0.95,10,0.84,22.88817979635764,4
50,100,0.95,10,0.84,23.99890053089723,3
50,100,0.95,10,0.92,22.428104204102333,1
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,0.88,20.762023102292947,3
50,100,0.95,10,0.92,20.531985306165296,1
50,100,0.95,10,0.88,24.55426089816703,2
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.84,24.228938327024885,4
50,100,0.95,10,0.92,20.762023102292947,2
50,100,0.95,10,0.96,17.29510787756101,1
50,100,0.95,10,0.88,18.08050604095846,2
50,100,0.95,10,0.96,17.29510787756101,1
50,100,0.95,10,0.96,18.635866408228253,1
50,100,0.95,10,0.92,19.421264571625706,2
50,100,0.95,10,0.96,17.29510787756101,1
50,100,0.95,10,0.72,23.44354016362744,4
50,100,0.95,10,0.92,19.976624938895498,2
50,100,0.95,10,0.96,17.29510787756101,1
50,100,0.95,10,0.92,18.08050604095846,2
50,100,0.95,10,0.96,17.29510787756101,1
50,100,0.95,10,0.92,21.317383469562746,2
50,100,0.95,10,0.88,22.10278163296019,3
50,100,0.95,10,0.84,25.56969685769213,4
50,100,0.95,10,0.88,21.872743836832537,2
100,100,0.95,10,0.93,51.79003885766853,6
100,100,0.95,10,0.86,58.72386930713242,11
100,100,0.95,10,0.94,49.10852179633405,6
100,100,0.95,10,0.84,64.6422637970712,12
100,100,0.95,10,0.95,47.76776326566681,5
100,100,0.95,10,0.87,60.9453107762116,8
100,100,0.95,10,0.84,67.87914122567548,11
100,100,0.95,10,0.93,51.00464069427109,6
100,100,0.95,10,0.88,60.15991261281415,7
100,100,0.95,10,0.92,49.89391995973151,7
100,100,0.95,10,0.91,56.36767481694007,8
100,100,0.95,10,0.82,66.6731357161214,15
100,100,0.95,10,0.86,53.91619555173323,7
100,100,0.95,10,0.9,53.91619555173324,7
100,100,0.95,10,0.91,55.25695408240048,8
100,100,0.95,10,0.84,64.31694122592904,12
100,100,0.95,10,0.88,55.02691628627282,7
100,100,0.95,10,0.96,44.53088583706253,4
100,100,0.95,10,0.87,55.16166930738599,11
100,100,0.95,10,0.89,52.25011444992385,9
100,100,0.95,10,0.93,47.44244069452466,7
100,100,0.95,10,0.96,43.74548767366508,4
100,100,0.95,10,0.9,53.91619555173323,9
100,100,0.95,10,0.85,58.49383151100477,10
100,100,0.95,10,0.84,63.07146747027629,9
100,100,0.95,10,0.79,66.44309791999373,13
100,100,0.95,10,0.92,45.31628400045997,7
100,100,0.95,10,0.91,53.91619555173323,8
100,100,0.95,10,0.87,60.06462783779966,9
100,100,0.95,10,0.89,51.4647162865264,10
100,100,0.95,10,0.89,53.59087298059109,10
100,100,0.95,10,0.88,62.28606930687884,9
100,100,0.95,10,0.9,58.49383151100476,9
100,100,0.95,10,0.89,51.23467849039875,7
100,100,0.95,10,0.9,60.3899504089418,9
100,100,0.95,10,0.88,61.4053863684669,11
100,100,0.95,10,0.89,54.146233347860885,10
100,100,0.95,10,0.83,59.83459004167201,9
100,100,0.95,10,0.89,58.49383151100477,8
100,100,0.95,10,0.94,46.10168216385742,6
100,100,0.95,10,0.89,60.9453107762116,8
100,100,0.95,10,0.95,46.42700473499957,5
100,100,0.95,10,0.92,42.86480473525314,7
100,100,0.95,10,0.93,50.4492803270013,6
100,100,0.95,10,0.87,56.36767481694007,8
100,100,0.95,10,0.94,50.21924253087364,5
100,100,0.95,10,0.91,56.59771261306771,9
100,100,0.95,10,0.88,53.91619555173324,9
100,100,0.95,10,0.92,47.212402898397016,6
100,100,0.95,10,0.91,54.47155591900303,8
100,100,0.95,10,0.86,62.976182695261805,11
100,100,0.95,10,0.9,51.4647162865264,9
100,100,0.95,10,0.93,49.8939199597315,6
100,100,0.95,10,0.89,52.80547481719364,9
100,100,0.95,10,0.83,65.65769975659629,13
100,100,0.95,10,0.9,56.92303518420986,7
100,100,0.95,10,0.86,53.03551261332129,11
100,100,0.95,10,0.88,54.93163151125833,11
100,100,0.95,10,0.95,48.3231236329366,5
100,100,0.95,10,0.85,58.07322416484813,14
100,100,0.95,10,0.91,52.80547481719364,9
100,100,0.95,10,0.94,49.10852179633405,6
100,100,0.95,10,0.91,51.79003885766855,6
100,100,0.95,10,0.86,64.31694122592904,13
100,100,0.95,10,0.92,50.4492803270013,6
100,100,0.95,10,0.95,48.3231236329366,5
100,100,0.95,10,0.9,54.47155591900303,7
100,100,0.95,10,0.92,53.13079738833579,7
100,100,0.95,10,0.94,45.086246204332326,5
100,100,0.95,10,0.88,56.04235224579792,10
100,100,0.95,10,0.93,48.32312363293661,5
100,100,0.95,10,0.91,53.68615775560559,7
100,100,0.95,10,0.89,60.9453107762116,9
100,100,0.95,10,0.93,46.65704253112722,6
100,100,0.95,10,0.89,56.59771261306772,8
100,100,0.95,10,0.88,55.25695408240048,9
100,100,0.95,10,0.92,53.68615775560558,6
100,100,0.95,10,0.94,45.31628400045997,6
100,100,0.95,10,0.88,58.16850893986262,11
100,100,0.95,10,0.84,64.87230159319884,13
100,100,0.95,10,0.9,52.575437021066,8
100,100,0.95,10,0.92,51.23467849039875,8
100,100,0.95,10,0.92,45.54632179658763,7
100,100,0.95,10,0.84,63.53154306253159,12
100,100,0.95,10,0.9,53.68615775560558,7
100,100,0.95,10,0.95,47.537725469539154,4
100,100,0.95,10,0.87,64.73754857208567,9
100,100,0.95,10,0.88,57.05778820532302,10
100,100,0.95,10,0.9,58.49383151100477,9
100,100,0.95,10,0.89,54.70159371513069,9
100,100,0.95,10,0.86,64.18218820481587,8
100,100,0.95,10,0.86,61.730708939609045,9
100,100,0.95,10,0.9,55.81231444967028,8
100,100,0.95,10,0.84,55.71702967465578,10
100,100,0.95,10,0.93,49.89391995973151,6
100,100,0.95,10,0.85,57.28782600145068,13
100,100,0.95,10,0.94,47.21240289839701,6
100,100,0.95,10,0.9,58.49383151100476,9
100,100,0.95,10,0.88,56.04235224579793,9
100,100,0.95,10,0.91,48.55316142906426,7
150,100,0.95,10,0.8977777777777778,102.14403440965536,16
150,100,0.95,10,0.8844444444444445,105.05558926711748,18
150,100,0.95,10,0.8844444444444445,101.58867404238556,14
150,100,0.95,10,0.92,90.8626057970476,13
150,100,0.95,10,0.9022222222222224,93.21880028723994,15
150,100,0.95,10,0.9155555555555556,95.11491918517696,14
150,100,0.95,10,0.92,96.45567771584425,17
150,100,0.95,10,0.88,104.50022889984768,19
150,100,0.95,10,0.9422222222222222,79.8112149805675,12
150,100,0.95,10,0.9466666666666668,72.78209975608914,12
150,100,0.95,10,0.9155555555555556,90.7673210220331,16
150,100,0.95,10,0.9288888888888888,84.0635283686969,13
150,100,0.95,10,0.8933333333333333,105.84098743051491,19
150,100,0.95,10,0.9244444444444444,90.53728322590544,16
150,100,0.95,10,0.9244444444444444,96.78100028698636,15
150,100,0.95,10,0.9288888888888888,89.52184726638035,13
150,100,0.95,10,0.8844444444444445,102.374072205783,17
150,100,0.95,10,0.9111111111111112,91.32268138930291,16
150,100,0.95,10,0.8844444444444445,107.73710632845196,19
150,100,0.95,10,0.92,85.95964726663392,14
150,100,0.95,10,0.9155555555555556,96.78100028698636,15
150,100,0.95,10,0.9511111111111112,75.32886379631047,9
150,100,0.95,10,0.9244444444444444,89.98192285863567,16
150,100,0.95,10,0.8933333333333333,98.1217588176536,14
150,100,0.95,10,0.9066666666666666,94.23423624676504,20
150,100,0.95,10,0.9244444444444444,93.86944542952423,12
150,100,0.95,10,0.9333333333333332,88.64116432796841,15
150,100,0.95,10,0.9066666666666666,101.8187118385132,18
150,100,0.95,10,0.8933333333333333,105.150874042132,15
150,100,0.95,10,0.88,103.61954596143576,21
150,100,0.95,10,0.9022222222222224,90.7673210220331,16
150,100,0.95,10,0.8933333333333333,105.5156648593728,21
150,100,0.95,10,0.92,93.77416065450971,16
150,100,0.95,10,0.9244444444444444,82.49273204190199,14
150,100,0.95,10,0.9555555555555556,78.24041865377261,10
150,100,0.95,10,0.8844444444444445,102.04874963464086,22
150,100,0.95,10,0.9244444444444444,88.50641130685526,9
150,100,0.95,10,0.96,77.45502049037516,9
150,100,0.95,10,0.9422222222222222,87.16565277618801,11
150,100,0.95,10,0.9022222222222224,96.68571551197188,19
150,100,0.95,10,0.9111111111111112,97.10632285812852,13
150,100,0.95,10,0.8933333333333333,95.44024175631912,15
150,100,0.95,10,0.8755555555555555,100.47795330784597,16
150,100,0.95,10,0.8977777777777778,99.46251734832086,15
150,100,0.95,10,0.9244444444444444,88.96648689911055,14
150,100,0.95,10,0.9288888888888888,91.4179661643174,14
150,100,0.95,10,0.8844444444444445,106.0710252266426,21
150,100,0.95,10,0.8888888888888888,95.90031734857442,16
150,100,0.95,10,0.92,90.8626057970476,14
150,100,0.95,10,0.9022222222222224,94.78959661403483,18
150,100,0.95,10,0.9155555555555556,94.32952102177951,15
150,100,0.95,10,0.8666666666666667,118.00309898153462,21
150,100,0.95,10,0.8977777777777778,101.3586362462579,15
150,100,0.95,10,0.9111111111111112,102.46935698079749,15
150,100,0.95,10,0.8977777777777778,99.92259294057617,18
150,100,0.95,10,0.8933333333333333,99.13719477717872,17
150,100,0.95,10,0.9377777777777778,79.58117718443984,11
150,100,0.95,10,0.9422222222222222,86.61029240891821,11
150,100,0.95,10,0.92,91.09264359317528,15
150,100,0.95,10,0.9111111111111112,92.4334021238425,15
150,100,0.95,10,0.9333333333333332,88.18108873571312,13
150,100,0.95,10,0.8888888888888888,93.4488380833676,17
150,100,0.95,10,0.9022222222222224,97.79643624651146,17
150,100,0.95,10,0.9466666666666668,79.02581681717004,11
150,100,0.95,10,0.8666666666666667,118.13785200264778,23
150,100,0.95,10,0.9066666666666666,88.87120212409607,17
150,100,0.95,10,0.92,87.85576616457097,15
150,100,0.95,10,0.9022222222222224,99.46251734832086,16
150,100,0.95,10,0.8755555555555555,109.2126178802324,24
150,100,0.95,10,0.9111111111111112,96.1303551447021,19
150,100,0.95,10,0.8888888888888888,98.02647404263912,18
150,100,0.95,10,0.8933333333333333,103.3895081653081,19
150,100,0.95,10,0.8755555555555555,108.42721971683493,21
150,100,0.95,10,0.9288888888888888,83.37341498031392,11
150,100,0.95,10,0.92,95.0196344101625,18
150,100,0.95,10,0.8533333333333334,116.70180869696604,27
150,100,0.95,10,0.9155555555555556,95.44024175631912,15
150,100,0.95,10,0.8977777777777778,102.14403440965536,15
150,100,0.95,10,0.9422222222222222,83.60345277644157,12
150,100,0.95,10,0.92,89.52184726638035,13
150,100,0.95,10,0.9111111111111112,98.1217588176536,16
150,100,0.95,10,0.8666666666666667,106.5311008188979,23
150,100,0.95,10,0.9155555555555556,94.88488138904933,15
150,100,0.95,10,0.8888888888888888,112.08470449159586,19
150,100,0.95,10,0.9111111111111112,98.58183440990894,19
150,100,0.95,10,0.92,90.3072454297778,14
150,100,0.95,10,0.8888888888888888,107.41178375730983,21
150,100,0.95,10,0.9111111111111112,92.4334021238425,16
150,100,0.95,10,0.92,92.9887624911123,15
150,100,0.95,10,0.8933333333333333,105.61094963438728,18
150,100,0.95,10,0.9333333333333332,82.49273204190199,13
