Resolution,Subsamples,Blobiness,M0,M1,M2
500,4,2,0.567968,4319.4481938335,15
500,4,2,0.547376,4172.8258274694135,12
500,4,2,0.494208,4182.625863363164,13
500,4,2,0.537456,3996.565942839592,16
500,16,2,0.585856,1236.2407281148155,8
500,16,2,0.648896,1206.447834896002,10
500,16,2,0.483456,1144.9625535217635,4
500,16,2,0.640832,1145.4112549695426,6
500,16,2,0.4592,1267.625504425666,2
500,16,2,0.57792,1209.9503602129437,4
500,16,2,0.450624,1129.5189027078677,0
500,16,2,0.614592,1215.3412331782038,8
500,16,2,0.458176,1183.613311116846,4
500,16,2,0.559872,1167.1046891454944,10
500,16,2,0.56288,1110.1219330881977,8
500,16,2,0.542016,1248.2762620207484,8
500,16,2,0.536384,1176.17575695736,6
500,16,2,0.4224,1038.2407281148155,4
500,16,2,0.54816,1243.0813485483814,8
500,16,2,0.496768,954.5950211536164,2
500,25,2,0.5806,895.6894295625949,6
500,25,2,0.5947,812.706673505298,7
500,25,2,0.474,913.3340905032676,2
500,25,2,0.6839,778.9726547895302,7
500,25,2,0.5319,778.5168106668145,3
500,25,2,0.4847,726.58787847868,2
500,25,2,0.705,747.723917448001,6
500,25,2,0.4855,855.8549057834389,3
500,25,2,0.5216,677.6883835420683,4
500,25,2,0.6186,853.9726547895303,3
500,25,2,0.3777,815.8782463805517,1
500,25,2,0.5975,846.6417023478423,7
500,25,2,0.528,786.4224022578361,4
500,25,2,0.5048,731.2985565973347,6
500,25,2,0.5649,799.3279938488577,4
500,25,2,0.5719,846.4701294725886,6
500,25,2,0.4959,885.7127701597079,4
500,25,2,0.5196,692.6295090390225,6
500,25,2,0.5065,768.6061684419096,4
500,25,2,0.5843,767.9310242291876,6
500,25,2,0.5987,760.9137802864844,6
500,25,2,0.4551,765.8610024378486,3
500,25,2,0.4119,746.8782463805518,3
500,25,2,0.5733,833.5117600329312,7
500,25,2,0.4482,682.280266634105,2
500,100,2,0.5692,244.8528137423857,3
500,100,2,0.4976,285.3025612106916,4
500,100,2,0.6188,291.8528137423857,3
500,100,2,0.7712,314.09545442950497,5
500,100,2,0.5032,237.5391052434009,2
500,100,2,0.5368,266.3380951166243,3
500,100,2,0.656,253.61017305526644,3
500,100,2,0.7596,194.42640687119285,3
500,100,2,0.4528,264.2670273047588,2
500,100,2,0.8644,257.25483399593907,2
500,100,2,0.6692,272.6101730552664,2
500,100,2,0.5864,235.36753236814712,4
500,100,2,0.2828,166.2193000900063,2
500,100,2,0.706,238.84671708797583,3
500,100,2,0.4652,252.5035713374682,1
500,100,2,0.3908,233.5391052434009,2
500,100,2,0.5964,240.12489168102783,3
500,100,2,0.7236,261.3259018078045,3
500,100,2,0.162,188.7401153701776,0
500,100,2,0.6484,216.8050865276332,2
500,100,2,0.8184,223.8761543394987,3
500,100,2,0.5672,237.1543289325507,2
500,100,2,0.7508,257.5330085889911,3
500,100,2,0.7844,211.976659402887,2
500,100,2,0.6164,288.237590053236,4
500,100,2,0.3176,216.2609306503489,0
500,100,2,0.2016,135.14823227814082,1
500,100,2,0.636,249.9827560572969,2
500,100,2,0.5868,216.36143571373725,2
500,100,2,0.57,270.2253967444162,1
500,100,2,0.3184,227.8111831820431,2
500,100,2,0.2348,205.0538238691624,0
500,100,2,0.642,284.78174593052023,2
500,100,2,0.6428,263.53300858899104,2
500,100,2,0.592,279.9177848998413,2
500,100,2,0.416,232.16042558696057,2
500,100,2,0.6556,254.64570696119912,4
500,100,2,0.5932,211.8761543394987,1
500,100,2,0.5824,263.78174593052023,2
500,100,2,0.7352,216.36143571373725,3
500,100,2,0.5444,272.5096679918781,3
500,100,2,0.4592,226.9888527117068,2
500,100,2,0.6648,261.5035713374682,1
500,100,2,0.4856,270.23149339882605,3
500,100,2,0.4084,235.2903679018717,1
500,100,2,0.4372,234.63961030678928,2
500,100,2,0.5816,218.84671708797583,2
500,100,2,0.4116,285.03048327204937,2
500,100,2,0.6776,268.12489168102786,3
500,100,2,0.4912,256.23149339882605,2
500,100,2,0.2896,229.0538238691624,0
500,100,2,0.2176,217.1837661840736,2
500,100,2,0.56,278.39696961967,2
500,100,2,0.6796,309.8528137423857,5
500,100,2,0.7408,238.2253967444162,3
500,100,2,0.5256,290.19595949289334,2
500,100,2,0.246,154.94722215136414,1
500,100,2,0.78,247.95331880577405,5
500,100,2,0.6724,218.5685424949238,3
500,100,2,0.4184,266.5391052434009,0
500,100,2,0.5412,289.29646455628165,2
500,100,2,0.6436,309.3025612106915,2
500,100,2,0.6,297.3380951166243,2
500,100,2,0.3964,278.60407640085657,2
500,100,2,0.5896,241.68124086713192,4
500,100,2,0.6808,266.9177848998413,3
500,100,2,0.3608,194.7401153701776,1
500,100,2,0.48,210.12489168102783,1
500,100,2,0.4916,281.33809511662434,3
500,100,2,0.7856,233.0477272147525,3
500,100,2,0.4164,166.5685424949238,3
500,100,2,0.6864,273.64570696119915,4
500,100,2,0.6116,302.3025612106915,3
500,100,2,0.3756,248.36143571373725,1
500,100,2,0.168,101.94112549695429,1
500,100,2,0.64,218.6040764008565,2
500,100,2,0.7744,229.3319984622144,4
500,100,2,0.4108,274.58073580374355,2
500,100,2,0.2192,208.2193000900063,1
500,100,2,0.8408,236.8050865276332,3
500,100,2,0.3764,238.67514421272205,3
500,100,2,0.8016,194.0538238691624,4
500,100,2,0.2148,176.6040764008565,0
500,100,2,0.6132,253.61626970967632,3
500,100,2,0.2436,136.71067811865476,0
500,100,2,0.3628,202.7462120245875,2
500,100,2,0.7152,297.09545442950497,3
500,100,2,0.3752,261.46803743153544,2
500,100,2,0.2944,184.2903679018717,1
500,100,2,0.4484,209.7401153701776,1
500,100,2,0.696,284.3675323681471,3
500,100,2,0.5208,194.0893577750951,3
500,100,2,0.4172,242.4386001800126,1
500,100,2,0.5752,255.9238815542512,3
500,100,2,0.38,198.12489168102783,2
