Packing fraction,Avg_diameter_mean,Avg_diameter_variance,Porosity_mean,Porosity_variance,Surface_mean,Surface_variance,Euler_total_mean,Euler_total_variance,Euler_mean_vol_mean,Euler_mean_vol_variance,Euler_mean_shape_mean,Euler_mean_shape_variance,Permeability_mean,Permeability_variance,Energy_mean,Energy_variance,Samples,Mean_error,Variance_error
0.070,0.005626141643437437,0.0025487640504311404,0.982791282332383,0.00023031992547255137,20.793819882222394,0.01302356296097334,1166.2903555529067,0.013732720439383943,1166.2903555529067,0.013732720439383943,1.0,0.0,0.00010828107149424995,0.018866818962546935,0.0001066863047269106,0.01894927447906032,5,0.4472135954999579,0.35355339059327373
0.120,0.005623259477573141,0.0019812648855542297,0.9713280189840142,0.00018199333401480199,34.64420823783284,0.006111571604840472,1944.5638268845623,0.006100002072374442,1944.5638268845623,0.006100002072374442,1.0,0.0,5.092640197983161e-05,0.009237732826489396,4.996399184751586e-05,0.009323184170543185,5,0.4472135954999579,0.35355339059327373
0.170,0.005624868189727228,0.0020583794204601215,0.9602397373868206,0.00031870365026955623,48.03850666800085,0.007714408845371873,2697.326415046242,0.007391844088577373,2697.326415046242,0.007391844088577373,1.0,0.0,3.045732950328025e-05,0.009274834296168703,2.9768482983378125e-05,0.009380152896546624,5,0.4472135954999579,0.35355339059327373
0.220,0.005625362530952815,0.0022151103794167035,0.9497451004454576,0.00023526363870329778,60.703036957784015,0.004374799403538708,3411.564516800875,0.004562148888008852,3411.564516800875,0.004562148888008852,1.0,0.0,2.082874021428568e-05,0.006332117490940721,2.028869363936736e-05,0.006393103404775404,5,0.4472135954999579,0.35355339059327373
0.270,0.0056258350232037515,0.001899606970250068,0.9395656096631181,0.0004191752457125011,72.98875606346864,0.0064634881179340105,4105.915981024991,0.006391680851519376,4105.915981024991,0.006391680851519376,1.0,0.0,1.525610472906921e-05,0.00675570260037501,1.4814176111908584e-05,0.006840471464923641,5,0.4472135954999579,0.35355339059327373
0.320,0.005668344759427674,0.001265431364204775,0.930701748136167,0.0005276018724271586,83.7463728805218,0.006958688772511331,4743.094099865241,0.006683789723031209,4743.094099865241,0.006683789723031209,1.0,0.0,1.187867273560606e-05,0.015139897933106616,1.1509525750315885e-05,0.015264887853655245,5,0.4472135954999579,0.35355339059327373
0.370,0.005722302890206955,0.0010016276715013974,0.9153745661034431,0.0004011773993959048,102.32159597425424,0.00432327421119049,5800.939055109186,0.0045856499863318615,5800.939055109186,0.0045856499863318615,1.0,0.0,8.316601275634459e-06,0.008535372542440729,8.028394911256941e-06,0.008580120889513446,5,0.4472135954999579,0.35355339059327373
0.420,0.005738764762281679,0.0005416803782485147,0.8997521529686658,0.0004240994529068076,121.23202908579944,0.0037934551395235284,6883.739381806223,0.004196165174188448,6883.739381806223,0.004196165174188448,1.0,0.0,6.137797010700486e-06,0.009117701298226828,5.906407072979136e-06,0.009188896428814894,5,0.4472135954999579,0.35355339059327373
0.470,0.00562868062776675,0.0008896312129894596,0.8912231403086799,0.0002376477999866015,131.56760619315867,0.001981399815660722,7481.584238193704,0.002052694598073842,7481.584238193704,0.002052694598073842,1.0,0.0,5.3002740308620745e-06,0.004672457718292556,5.086376878575186e-06,0.004680657365579359,5,0.4472135954999579,0.35355339059327373
0.520,0.00544027023316155,0.0009537668767917874,0.8874974712468297,0.0005521977539112314,136.0714963059469,0.004311823168944718,7746.12464937423,0.004411162538587787,7746.12464937423,0.004411162538587787,1.0,0.0,5.001496151823651e-06,0.00970409195283819,4.786710647390934e-06,0.00978650132879089,5,0.4472135954999579,0.35355339059327373
0.570,0.0052738393259618,0.00032048260767382844,0.886610245242769,0.0005522902196112069,137.1462802731544,0.004305120223076419,7812.534083186698,0.00410520685782513,7812.534083186698,0.00410520685782513,1.0,0.0,4.972874062257144e-06,0.009366604251214196,4.750798301788095e-06,0.009552214783683075,5,0.4472135954999579,0.35355339059327373
0.620,0.005191445452027392,0.0016852892937628682,0.8881157904881896,0.0006591989347661493,135.32690155772784,0.005248426116947561,7714.8804440452495,0.005567138811472906,7714.8804440452495,0.005567138811472906,1.0,0.0,5.209805411956618e-06,0.011330152750040704,4.975877502383488e-06,0.011555115153671707,5,0.4472135954999579,0.35355339059327373
