Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.006392659601319222,0.93059303579437,50.698777717068005,1901,1901.0,1,3.129176529996032e-05,3.0874369679624053e-05
2,0.006405545507819961,0.93030899878012,50.841450206953,1907,1907.0,1,3.07782039728786e-05,3.035783890029971e-05
3,0.006413774745168508,0.9309967259547,50.53201105736301,1861,1861.0,1,3.06187344312122e-05,3.0197400506869178e-05
4,0.006392499388559068,0.93012540980621,51.02197582812101,1911,1911.0,1,3.0487570842733117e-05,3.0074438536069163e-05
5,0.006392680554948752,0.9313870411838501,50.396867889119996,1862,1862.0,1,3.070540914482168e-05,3.0285187801049796e-05
6,0.00639608395321905,0.93176869781311,50.027496020575,1860,1860.0,1,3.1555925966248215e-05,3.112604647382579e-05
7,0.0063909698439428685,0.93136124646773,50.344302713198005,1871,1871.0,1,3.100663540643312e-05,3.0587099398829286e-05
8,0.006399161280359967,0.9302317393170001,50.874108376089,1913,1913.0,1,3.0265112655138028e-05,2.9849581426712293e-05
9,0.00636382888788417,0.9315186646726,50.361834364089006,1890,1890.0,1,3.138539217382035e-05,3.0961545721719716e-05
10,0.006424764618688754,0.92952882919949,51.131493625924996,1926,1926.0,1,3.091594496273184e-05,3.0502373816606047e-05
11,0.006403395961863976,0.9314831062411,50.431018334400996,1850,1850.0,1,3.140654903575125e-05,3.0984566865353994e-05
12,0.006370027706716237,0.9313910994651501,50.452219420462,1883,1883.0,1,3.107780261210888e-05,3.065855639106464e-05
13,0.0064074591972211005,0.9309144952307901,50.515767983688,1880,1880.0,1,3.1321388558522055e-05,3.090082465554196e-05
14,0.006403926116434791,0.93093761126638,50.554229014599,1872,1872.0,1,3.082623816995993e-05,3.0409027117750265e-05
15,0.0063749796781806785,0.9312623081736,50.467905609236,1887,1887.0,1,3.0967901164475104e-05,3.055237660195425e-05
16,0.006421649530238766,0.93110590190465,50.45083663954001,1856,1856.0,1,3.12209393672095e-05,3.079954533680288e-05
