Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007174457488654359,0.93302280833749,75.672271980301,4174,4174.0,1,1.1250006657212644e-05,1.0921213371314713e-05
2,0.007182406787736166,0.9333651267347701,75.260885591444,4208,4208.0,1,1.1333272423689902e-05,1.1001347418711613e-05
3,0.007165768609723311,0.93312607298137,75.567894735567,4199,4199.0,1,1.1294978547218694e-05,1.0963838412633507e-05
4,0.007177196358846459,0.93222794872493,76.574460817967,4228,4228.0,1,1.1041704997766852e-05,1.0719546471132917e-05
5,0.007166932089326,0.93312218553673,75.538274001192,4220,4220.0,1,1.1317441434309688e-05,1.0987873312812167e-05
6,0.0071812471289222435,0.9335600335267501,75.04310240147,4183,4183.0,1,1.148842120154738e-05,1.1152903142293374e-05
7,0.0071608354354732555,0.89772162872042,82.508601736613,4190,4190.0,1,1.1315066818118812e-05,1.1002721259007496e-05
8,0.0071681374367480195,0.89632382138544,83.62282316008701,4250,4250.0,1,1.0905444292538898e-05,1.0603885762435114e-05
9,0.007161587572371964,0.8974001909386601,82.752326405648,4208,4208.0,1,1.1190220907351476e-05,1.0883284974452362e-05
10,0.007206626963553209,0.8965460099103799,83.44394998412,4248,4248.0,1,1.1291195060794391e-05,1.0981982885586436e-05
11,0.00717471816054844,0.89877694162147,81.631763912085,4151,4151.0,1,1.1614719678303138e-05,1.1299508641274425e-05
12,0.007160331481085892,0.89693149220402,83.134749444683,4224,4224.0,1,1.1147782699633129e-05,1.0839600526633315e-05
13,0.00718612746018184,0.8977282952900699,82.472829289944,4193,4193.0,1,1.1341748890733249e-05,1.1033401891980069e-05
14,0.00716449306643683,0.89861255618675,81.80404279435601,4157,4157.0,1,1.1674782799038403e-05,1.1359759480104087e-05
15,0.007173531787359001,0.89694033684061,83.160874156631,4223,4223.0,1,1.10404535694781e-05,1.0732229578076063e-05
16,0.00718295196471168,0.89940588940587,81.149942246622,4121,4121.0,1,1.1839134584139743e-05,1.1518716955194295e-05
