Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.005573092122169212,0.9384909961824,74.288191335063,4174,4174.0,1,1.4838111278882775e-05,1.4407497533825113e-05
2,0.005579267108383799,0.93806632043274,74.803805921804,4208,4208.0,1,1.462686528315756e-05,1.4201750762696965e-05
3,0.0055663426330548535,0.93812584961062,74.743258474093,4199,4199.0,1,1.4570333588461929e-05,1.414361386344086e-05
4,0.005575219666435155,0.9377231174359,75.233861385098,4228,4228.0,1,1.4473686735509923e-05,1.4050448156805343e-05
5,0.00556724641972002,0.9378822925958499,75.029441915561,4220,4220.0,1,1.4544017950900762e-05,1.4118185377172769e-05
6,0.005578366289693258,0.9383835802797,74.418376607827,4183,4183.0,1,1.473594917614112e-05,1.4305821924514771e-05
7,0.0055625105614879435,0.93824449374675,74.598092395848,4190,4190.0,1,1.4702759046026947e-05,1.4273830221502847e-05
8,0.005568182729152858,0.93740349964709,75.609000704189,4250,4250.0,1,1.4251438573051492e-05,1.3835231927846003e-05
9,0.005563094818657438,0.9380459357397101,74.832224965162,4208,4208.0,1,1.4567955811793946e-05,1.4145759516346328e-05
10,0.005598081251649263,0.9375294693324498,75.45412204492699,4248,4248.0,1,1.4652267831677998e-05,1.4228636265805413e-05
11,0.005573294611135335,0.9388939890752299,73.80092806968,4151,4151.0,1,1.5039516537966225e-05,1.4605895207724244e-05
12,0.0055621190915781165,0.93776972690651,75.177719887767,4224,4224.0,1,1.45073231786595e-05,1.4084297274259038e-05
13,0.0055821573130200326,0.93824727238821,74.57602502476401,4193,4193.0,1,1.4709800647701224e-05,1.4283614578644847e-05
14,0.00556535179573334,0.9387829692169499,73.958393498636,4157,4157.0,1,1.512735061616475e-05,1.4695571133625666e-05
15,0.0055723730408164,0.9377694943635,75.178919727494,4223,4223.0,1,1.4395435979937367e-05,1.3971445394383217e-05
16,0.005579690599848099,0.9392817410761299,73.353533136433,4121,4121.0,1,1.531911827902631e-05,1.4881943543067381e-05
