Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
50,100,0.55,10,0.56,23.90361575588274,6
50,100,0.55,10,0.48,21.452136490675905,5
50,100,0.55,10,0.52,20.436700531150805,4
50,100,0.55,10,0.64,20.436700531150805,4
50,100,0.55,10,0.52,24.228938327024885,2
50,100,0.55,10,0.56,24.689013919280185,5
50,100,0.55,10,0.52,20.9920608984206,3
50,100,0.55,10,0.6,21.22209869454825,4
50,100,0.55,10,0.52,25.01433649042233,3
50,100,0.55,10,0.6,23.80833098086825,7
50,100,0.55,10,0.32,18.21525906207162,2
50,100,0.55,10,0.48,15.629026775751624,1
50,100,0.55,10,0.56,23.11821759248529,3
50,100,0.55,10,0.48,24.13365355201039,5
50,100,0.55,10,0.52,21.22209869454825,5
50,100,0.55,10,0.44,20.89677612340611,4
50,100,0.55,10,0.4,17.755183469816316,2
50,100,0.55,10,0.52,22.33281942908784,4
50,100,0.55,10,0.68,23.44354016362744,3
50,100,0.55,10,0.56,23.90361575588274,5
50,100,0.55,10,0.64,24.78429869429468,3
50,100,0.55,10,0.6,23.44354016362744,3
50,100,0.55,10,0.56,21.77745906181805,5
50,100,0.55,10,0.52,22.23753465407335,5
50,100,0.55,10,0.48,21.77745906181805,4
50,100,0.55,10,0.52,22.792895021343146,5
50,100,0.55,10,0.56,25.01433649042233,4
50,100,0.55,10,0.4,20.34141575613632,4
50,100,0.55,10,0.68,21.682174286803555,6
50,100,0.55,10,0.64,24.91905171540784,7
50,100,0.55,10,0.56,23.022932817470803,5
50,100,0.55,10,0.6,23.11821759248529,4
50,100,0.55,10,0.36,19.09594200048356,1
50,100,0.55,10,0.52,22.56285722521549,3
50,100,0.55,10,0.44,23.11821759248529,3
50,100,0.55,10,0.76,20.9920608984206,4
50,100,0.55,10,0.32,17.755183469816316,1
50,100,0.55,10,0.52,18.310543837086115,2
50,100,0.55,10,0.72,23.44354016362744,3
50,100,0.55,10,0.48,23.578293184740595,5
50,100,0.55,10,0.56,23.348255388612948,5
50,100,0.55,10,0.52,22.467572450201004,7
50,100,0.55,10,0.44,20.436700531150805,3
50,100,0.55,10,0.48,19.32597979661121,3
50,100,0.55,10,0.6,25.56969685769213,4
50,100,0.55,10,0.68,22.88817979635764,3
50,100,0.55,10,0.4,17.755183469816316,1
50,100,0.55,10,0.56,22.33281942908784,4
50,100,0.55,10,0.64,23.67357795975509,3
50,100,0.55,10,0.64,24.228938327024885,4
