Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
100,400,0.75,10,0.44,20.80149134839161,6
100,400,0.75,10,0.76,22.88817979635764,4
100,400,0.75,10,0.52,23.34825538861294,6
100,400,0.75,10,0.72,19.65130236775336,4
100,400,0.75,10,0.68,26.58513281721723,6
100,400,0.75,10,0.84,22.658142000229983,3
100,400,0.75,10,0.64,25.01433649042233,5
100,400,0.75,10,0.64,17.755183469816316,4
100,400,0.75,10,0.72,26.91045538835937,4
100,400,0.75,10,0.72,22.33281942908784,4
100,400,0.75,10,0.68,24.91905171540784,6
100,400,0.75,10,0.6,20.9920608984206,3
100,400,0.75,10,0.68,20.9920608984206,2
100,400,0.75,10,0.64,22.56285722521549,4
100,400,0.75,10,0.64,23.11821759248529,5
100,400,0.75,10,0.52,20.20666273502315,2
100,400,0.75,10,0.72,23.67357795975509,3
100,400,0.75,10,0.84,19.651302367753352,4
100,400,0.75,10,0.8,24.78429869429468,4
100,400,0.75,10,0.76,23.90361575588274,5
100,400,0.75,10,0.72,27.92589134788448,6
100,400,0.75,10,0.68,25.47441208267764,7
100,400,0.75,10,0.56,19.4212645716257,4
100,400,0.75,10,0.56,25.01433649042233,5
100,400,0.75,10,0.52,18.540581633213765,4
100,400,0.75,10,0.88,21.5474212656904,3
100,400,0.75,10,0.6,18.770619429341416,5
100,400,0.75,10,0.64,24.45897612315254,5
100,400,0.75,10,0.76,20.9920608984206,4
100,400,0.75,10,0.72,27.60056877674233,7
100,400,0.75,10,0.64,22.88817979635764,4
100,400,0.75,10,0.76,23.67357795975509,5
100,400,0.75,10,0.64,24.45897612315253,3
100,400,0.75,10,0.72,20.9920608984206,3
100,400,0.75,10,0.56,23.90361575588274,4
100,400,0.75,10,0.72,24.228938327024885,4
100,400,0.75,10,0.52,26.68041759223172,2
100,400,0.75,10,0.56,22.56285722521549,4
100,400,0.75,10,0.8,25.56969685769213,4
100,400,0.75,10,0.64,25.01433649042233,3
100,400,0.75,10,0.72,24.22893832702488,5
100,400,0.75,10,0.76,22.10278163296019,3
100,400,0.75,10,0.52,21.77745906181805,3
100,400,0.75,10,0.56,24.363691348138047,7
100,400,0.75,10,0.8,24.78429869429468,4
100,400,0.75,10,0.76,20.9920608984206,4
100,400,0.75,10,0.64,22.88817979635764,2
100,400,0.75,10,0.68,22.10278163296019,3
100,400,0.75,10,0.8,25.56969685769213,4
100,400,0.75,10,0.8,19.881340163881006,5
100,400,0.75,10,0.48,22.79289502134315,6
100,400,0.75,10,0.68,20.66673832727846,6
100,400,0.75,10,0.68,27.60056877674233,7
100,400,0.75,10,0.6,24.45897612315253,4
100,400,0.75,10,0.52,21.77745906181805,4
100,400,0.75,10,0.72,19.976624938895498,2
100,400,0.75,10,0.6,20.9920608984206,4
100,400,0.75,10,0.64,25.79973465381978,5
100,400,0.75,10,0.72,24.228938327024885,4
100,400,0.75,10,0.64,25.79973465381978,4
100,400,0.75,10,0.56,22.79289502134315,6
100,400,0.75,10,0.72,23.67357795975509,5
100,400,0.75,10,0.6,23.34825538861294,5
100,400,0.75,10,0.52,20.20666273502315,3
100,400,0.75,10,0.76,21.5474212656904,3
100,400,0.75,10,0.64,19.881340163881006,4
100,400,0.75,10,0.64,24.45897612315253,5
100,400,0.75,10,0.72,23.443540163627432,3
100,400,0.75,10,0.88,20.20666273502315,3
100,400,0.75,10,0.64,18.31054383708611,3
100,400,0.75,10,0.72,22.658142000229983,3
100,400,0.75,10,0.64,25.79973465381978,6
100,400,0.75,10,0.64,23.67357795975509,4
100,400,0.75,10,0.64,26.125057224961925,2
100,400,0.75,10,0.76,20.436700531150805,5
100,400,0.75,10,0.56,25.56969685769213,2
100,400,0.75,10,0.6,21.22209869454825,3
100,400,0.75,10,0.44,21.452136490675905,4
100,400,0.75,10,0.64,20.66673832727846,4
100,400,0.75,10,0.68,18.31054383708611,3
100,400,0.75,10,0.8,24.45897612315253,5
100,400,0.75,10,0.64,18.54058163321376,5
100,400,0.75,10,0.68,21.317383469562746,2
100,400,0.75,10,0.6,25.70444987880529,7
100,400,0.75,10,0.76,24.45897612315253,5
100,400,0.75,10,0.84,22.332819429087845,4
100,400,0.75,10,0.6,15.073666408481827,4
100,400,0.75,10,0.8,23.11821759248529,5
100,400,0.75,10,0.68,23.44354016362744,3
100,400,0.75,10,0.6,22.33281942908784,3
100,400,0.75,10,0.64,20.436700531150805,4
100,400,0.75,10,0.68,23.90361575588274,6
100,400,0.75,10,0.64,25.56969685769213,3
100,400,0.75,10,0.6,20.20666273502315,3
100,400,0.75,10,0.76,22.007496857945704,5
100,400,0.75,10,0.84,19.651302367753352,4
100,400,0.75,10,0.84,22.33281942908784,4
100,400,0.75,10,0.72,19.32597979661121,5
100,400,0.75,10,0.8,23.67357795975509,5
100,400,0.75,10,0.72,21.77745906181805,5
100,400,0.75,10,0.68,20.66673832727846,6
100,400,0.75,10,0.6,23.67357795975509,2
100,400,0.75,10,0.76,24.68901391928019,6
100,400,0.75,10,0.68,21.5474212656904,3
100,400,0.75,10,0.68,20.436700531150805,5
100,400,0.75,10,0.68,23.213502367499785,1
100,400,0.75,10,0.68,23.90361575588274,5
100,400,0.75,10,0.56,21.5474212656904,3
100,400,0.75,10,0.6,21.22209869454825,5
100,400,0.75,10,0.68,23.90361575588274,5
100,400,0.75,10,0.64,23.11821759248529,4
100,400,0.75,10,0.48,22.56285722521549,3
100,400,0.75,10,0.64,20.9920608984206,4
100,400,0.75,10,0.88,16.739747510291217,2
100,400,0.75,10,0.72,24.78429869429468,4
100,400,0.75,10,0.68,16.96978530641887,3
100,400,0.75,10,0.64,26.910455388359367,3
100,400,0.75,10,0.8,23.44354016362744,4
100,400,0.75,10,0.6,23.11821759248529,6
100,400,0.75,10,0.68,21.77745906181805,3
100,400,0.75,10,0.76,24.45897612315253,5
100,400,0.75,10,0.76,24.228938327024885,4
100,400,0.75,10,0.8,25.89501942883427,3
100,400,0.75,10,0.72,24.45897612315253,5
100,400,0.75,10,0.84,25.89501942883427,3
100,400,0.75,10,0.8,23.213502367499785,2
100,400,0.75,10,0.56,15.859064571879276,4
100,400,0.75,10,0.72,18.31054383708611,3
100,400,0.75,10,0.68,27.140493184487024,6
100,400,0.75,10,0.8,23.99890053089723,3
100,400,0.75,10,0.68,21.22209869454825,5
100,400,0.75,10,0.52,25.799734653819776,3
100,400,0.75,10,0.68,25.56969685769213,2
100,400,0.75,10,0.64,20.9920608984206,3
100,400,0.75,10,0.48,19.651302367753352,2
100,400,0.75,10,0.88,18.865904204355907,3
100,400,0.75,10,0.56,23.348255388612944,4
100,400,0.75,10,0.76,25.339659061564475,3
100,400,0.75,10,0.8,19.651302367753352,3
100,400,0.75,10,0.6,19.881340163881006,5
100,400,0.75,10,0.64,21.5474212656904,3
100,400,0.75,10,0.68,20.896776123406102,6
100,400,0.75,10,0.72,23.90361575588274,6
100,400,0.75,10,0.68,23.44354016362744,4
100,400,0.75,10,0.64,24.1336535520104,6
100,400,0.75,10,0.68,25.244374286549984,6
100,400,0.75,10,0.72,20.762023102292947,2
100,400,0.75,10,0.68,25.01433649042233,5
100,400,0.75,10,0.76,22.88817979635764,4
100,400,0.75,10,0.6,22.332819429087845,4
100,400,0.75,10,0.68,20.436700531150805,4
100,400,0.75,10,0.84,23.213502367499785,2
100,400,0.75,10,0.84,21.317383469562746,2
100,400,0.75,10,0.56,22.79289502134315,5
100,400,0.75,10,0.72,17.755183469816316,4
100,400,0.75,10,0.72,19.651302367753352,3
100,400,0.75,10,0.8,22.88817979635764,3
100,400,0.75,10,0.68,21.5474212656904,4
100,400,0.75,10,0.68,22.88817979635764,3
100,400,0.75,10,0.76,22.88817979635764,3
100,400,0.75,10,0.52,23.11821759248529,3
100,400,0.75,10,0.68,25.56969685769213,5
100,400,0.75,10,0.64,23.90361575588274,5
100,400,0.75,10,0.72,22.88817979635764,3
100,400,0.75,10,0.76,25.01433649042233,4
100,400,0.75,10,0.64,22.79289502134315,7
100,400,0.75,10,0.76,25.56969685769213,4
100,400,0.75,10,0.76,24.78429869429468,3
100,400,0.75,10,0.56,23.11821759248529,3
100,400,0.75,10,0.64,23.99890053089723,4
100,400,0.75,10,0.6,19.421264571625706,2
100,400,0.75,10,0.72,25.01433649042233,5
100,400,0.75,10,0.72,23.67357795975509,5
100,400,0.75,10,0.76,22.10278163296019,3
100,400,0.75,10,0.72,22.88817979635764,3
100,400,0.75,10,0.64,22.007496857945704,5
