Resolution,Subsamples,Blobiness,M0,M1,M2
500,4,5,0.563552,9658.265145524423,70
500,4,5,0.541424,9593.401184493743,59
500,4,5,0.530592,9607.784914784068,66
500,4,5,0.54392,9235.020412796252,44
500,16,5,0.578944,2506.506888867797,31
500,16,5,0.580672,2534.92719908458,23
500,16,5,0.512576,2518.92719908458,10
500,16,5,0.572224,2458.6307345282985,33
500,16,5,0.518592,2592.16374311729,12
500,16,5,0.576,2455.234810929155,25
500,16,5,0.51808,2469.448014364751,15
500,16,5,0.562816,2499.5840533340725,24
500,16,5,0.523968,2490.814500712372,19
500,16,5,0.549824,2443.4885989045674,25
500,16,5,0.565568,2396.973880278806,23
500,16,5,0.54144,2543.471354961865,12
500,16,5,0.544512,2546.347509301363,28
500,16,5,0.504064,2451.4591616530447,22
500,16,5,0.551168,2387.0865786510144,25
500,16,5,0.517504,2319.026658127442,8
500,25,5,0.5751,1694.4682169002847,23
500,25,5,0.5572,1666.242820155869,13
500,25,5,0.5119,1663.4499269370551,2
500,25,5,0.6036,1613.870237153838,27
500,25,5,0.5062,1597.5088014401008,13
500,25,5,0.5476,1633.171752344003,11
500,25,5,0.6295,1566.5148980945105,29
500,25,5,0.5248,1692.4387796487615,13
500,25,5,0.5428,1653.2255762131656,12
500,25,5,0.5845,1637.698664278584,22
500,25,5,0.4938,1593.065150626205,9
500,25,5,0.5666,1700.870237153838,18
500,25,5,0.5392,1619.5798692519663,10
500,25,5,0.5167,1573.9057710597708,17
500,25,5,0.5509,1620.2722574073914,8
500,25,5,0.5642,1631.7758287448596,15
500,25,5,0.5393,1640.2428201558685,21
500,25,5,0.5518,1644.9474016201134,17
500,25,5,0.541,1617.1362184380705,16
500,25,5,0.544,1637.307791313324,15
500,25,5,0.5657,1640.5626253092632,22
500,25,5,0.5167,1625.8286065934954,16
500,25,5,0.4856,1604.4610742253485,9
500,25,5,0.5643,1508.923015002474,12
500,25,5,0.4988,1545.75144212722,7
500,100,5,0.5464,439.60512242138304,7
500,100,5,0.5296,470.64065632731575,5
500,100,5,0.606,459.2558800164656,6
500,100,5,0.6068,473.95436482630055,10
500,100,5,0.518,433.2914139223983,3
500,100,5,0.5236,413.67009357883865,4
500,100,5,0.5816,483.3746750430835,7
500,100,5,0.6108,411.56349186104046,8
500,100,5,0.5012,378.4274528917194,7
500,100,5,0.6108,476.2558800164656,8
500,100,5,0.6324,478.78888860545663,14
500,100,5,0.592,420.0132393293463,7
500,100,5,0.4248,422.80003589374985,1
500,100,5,0.5912,446.60512242138304,5
500,100,5,0.5248,471.6406563273158,2
500,100,5,0.4812,457.326947828331,2
500,100,5,0.5832,411.5279579551077,7
500,100,5,0.6388,462.1553749530772,11
500,100,5,0.3524,415.0426765808692,0
500,100,5,0.5604,447.7411613907041,9
500,100,5,0.6736,428.2203461105328,9
500,100,5,0.5972,459.7766952966369,9
500,100,5,0.642,429.9421715174808,8
500,100,5,0.6624,432.63455967290594,10
500,100,5,0.57,494.05486988968886,9
500,100,5,0.4476,434.19090885901,3
500,100,5,0.3644,385.0071426749364,-1
500,100,5,0.606,466.5462479183374,10
500,100,5,0.5752,415.35638507985385,9
500,100,5,0.5596,433.08430714121175,6
500,100,5,0.4728,445.5279579551077,2
500,100,5,0.4468,462.4629867976521,2
500,100,5,0.5976,441.46298679765215,10
500,100,5,0.616,483.6761902332485,8
500,100,5,0.574,454.1614716074871,4
500,100,5,0.5076,465.33304448274095,6
500,100,5,0.6236,426.8832970144351,9
500,100,5,0.5772,510.5756851698602,3
500,100,5,0.578,522.1614716074871,7
500,100,5,0.6252,423.3624817342638,8
500,100,5,0.5556,431.74116139070406,6
500,100,5,0.5072,408.7411613907041,6
500,100,5,0.5748,473.605122421383,5
500,100,5,0.528,447.49852070358486,5
500,100,5,0.4988,443.7056274847714,3
500,100,5,0.548,441.0132393293463,3
500,100,5,0.5932,427.9838020778234,8
500,100,5,0.4212,397.08430714121175,4
500,100,5,0.5688,465.9127342659579,5
500,100,5,0.496,441.87720036002514,5
500,100,5,0.4868,430.11374439273465,4
500,100,5,0.4256,455.8416664540924,3
500,100,5,0.5676,489.56958851545033,7
500,100,5,0.596,475.7056274847714,8
500,100,5,0.5944,454.9777054234136,8
500,100,5,0.5156,445.87720036002526,6
500,100,5,0.4296,442.8477631085024,3
500,100,5,0.6228,428.08430714121175,9
500,100,5,0.5988,392.1787155501902,5
500,100,5,0.54,514.2264427649427,1
500,100,5,0.5488,456.01323932934633,4
500,100,5,0.6064,434.56958851545033,6
500,100,5,0.594,407.7289680818844,6
500,100,5,0.4676,412.80003589374985,5
500,100,5,0.54,423.6051224213831,4
500,100,5,0.6076,440.08430714121175,10
500,100,5,0.4844,397.11374439273465,2
500,100,5,0.5252,425.4629867976521,8
500,100,5,0.5788,465.1970055134199,11
500,100,5,0.614,449.2914139223983,7
500,100,5,0.4928,456.5462479183374,7
500,100,5,0.6088,430.8477631085023,9
500,100,5,0.5752,514.7888886054566,11
500,100,5,0.5204,480.0904037956217,8
500,100,5,0.4428,466.7178207935912,3
500,100,5,0.6168,445.2558800164656,7
500,100,5,0.6404,449.87720036002514,11
500,100,5,0.514,456.0904037956216,6
500,100,5,0.348,390.4863273947651,-1
500,100,5,0.6352,496.7766952966369,8
500,100,5,0.47,377.4863273947651,1
500,100,5,0.636,465.98989873223326,12
500,100,5,0.4284,413.6995308303615,4
500,100,5,0.6216,456.0904037956216,9
500,100,5,0.4012,390.8000358937499,3
500,100,5,0.4944,411.04877323527904,4
500,100,5,0.6228,451.04877323527904,7
500,100,5,0.4764,429.2558800164656,4
500,100,5,0.4032,389.3919189857867,0
500,100,5,0.4964,398.4568901432422,4
500,100,5,0.6016,514.0609665440987,10
500,100,5,0.5552,425.5340546095176,7
500,100,5,0.498,425.9838020778234,5
500,100,5,0.5188,467.8772003600252,6
500,100,5,0.4668,413.3147545195113,6
500,100,5,0.58,441.326947828331,8
500,100,5,0.5612,406.3919189857866,5
500,100,5,0.5968,410.4274528917194,6
500,100,5,0.6556,404.4274528917194,9
500,100,5,0.44,463.5046173579947,4
600,4,5,0.5882333333333334,11638.462330506592,103
600,4,5,0.5353666666666667,11235.1881605269,50
600,4,5,0.5582333333333334,11736.865396780671,82
600,4,5,0.5274666666666666,11593.415649312366,54
600,9,5,0.5892,5355.566122308342,55
600,9,5,0.558475,5268.138669416621,42
600,9,5,0.569325,5075.558979633405,39
600,9,5,0.5768,5110.316338946286,49
600,9,5,0.538575,5116.512298439179,36
600,9,5,0.495075,5145.221930537306,18
600,9,5,0.56585,5361.252413809356,37
600,9,5,0.5497,5409.264607118176,44
600,9,5,0.527925,5392.128568148855,25
600,16,5,0.5571555555555555,3121.456203060214,29
600,16,5,0.5923111111111111,3021.2064196981582,34
600,16,5,0.5537333333333333,2976.4196231337546,21
600,16,5,0.5984,2942.0470401317248,33
600,16,5,0.6022666666666666,2999.952631722746,34
600,16,5,0.6012,3014.0653300949543,32
600,16,5,0.4940888888888889,2898.8571772932414,5
600,16,5,0.4952444444444444,2932.431816442575,9
600,16,5,0.6016,2892.7688655386723,38
600,16,5,0.5091111111111111,2975.550611469193,18
600,16,5,0.5414666666666667,2943.6744571296945,24
600,16,5,0.5424888888888889,3027.8226894078352,29
600,16,5,0.5459555555555555,3179.663309841401,17
600,16,5,0.5762666666666667,3177.828786062245,34
600,16,5,0.5094666666666666,2967.573952066305,12
600,16,5,0.5164444444444445,3118.119153964117,14
600,25,5,0.5391666666666667,2084.588057947429,16
600,25,5,0.5886111111111111,2035.735244205044,19
600,25,5,0.5522916666666666,1956.5636713297897,19
600,25,5,0.5808333333333333,1816.77582874486,16
600,25,5,0.6322222222222222,2012.3332239514905,28
600,25,5,0.6079861111111111,2037.226622233692,25
600,25,5,0.6289583333333333,1967.392098454536,29
600,25,5,0.5210416666666666,1949.9129137347072,11
600,25,5,0.49625,1875.995128834866,6
600,25,5,0.5224305555555555,1948.776874765386,7
600,25,5,0.5625694444444445,1908.93625433182,22
600,25,5,0.5284722222222222,1927.6347391416552,14
600,25,5,0.5463888888888889,1902.2560594852148,14
600,25,5,0.5325694444444444,1802.0306627407983,15
600,25,5,0.5202083333333334,1940.1849916733493,16
600,25,5,0.6151388888888889,2035.7352442050435,22
600,25,5,0.5234722222222222,1931.4865068635145,13
600,25,5,0.5470833333333334,2082.3870478206527,20
600,25,5,0.5353472222222222,1910.2854967367373,14
600,25,5,0.5244444444444445,1900.4337290148785,12
600,25,5,0.5264583333333334,2012.226622233692,9
600,25,5,0.6208333333333333,2053.6591257592945,26
600,25,5,0.5555555555555556,2012.3271272970803,19
600,25,5,0.4565972222222222,1854.17889501894,7
600,25,5,0.5431944444444444,2027.073339321668,18
600,36,5,0.5359,1552.3077913133243,13
600,36,5,0.6403,1349.7981233214464,20
600,36,5,0.5645,1400.401153701776,16
600,36,5,0.5675,1351.129075763134,16
600,36,5,0.5268,1343.265114732455,10
600,36,5,0.6608,1440.1534623807734,25
600,36,5,0.6158,1461.7331521639903,19
600,36,5,0.5648,1331.6437943888952,17
600,36,5,0.5717,1398.247870789752,17
600,36,5,0.5302,1454.8336572273788,11
600,36,5,0.5547,1364.8569978244918,11
600,36,5,0.535,1407.7564927611031,8
600,36,5,0.5312,1373.0996385116111,11
600,36,5,0.628,1425.2834046956846,16
600,36,5,0.6419,1394.7686860699234,19
600,36,5,0.4978,1311.5077554195743,8
600,36,5,0.4615,1255.0935418572012,3
600,36,5,0.484,1419.6620843521248,6
600,36,5,0.6599,1367.4549775709386,27
600,36,5,0.4881,1262.7798333582164,9
600,36,5,0.4594,1421.7686860699232,7
600,36,5,0.5552,1361.0346673541555,17
600,36,5,0.5147,1410.3839097590728,10
600,36,5,0.5201,1402.8630944789015,12
600,36,5,0.5614,1386.2712113868652,13
600,36,5,0.6259,1472.0174234114522,22
600,36,5,0.5454,1520.9879861599295,17
600,36,5,0.571,1391.4255403194154,14
600,36,5,0.5474,1440.7037149124676,13
600,36,5,0.5324,1397.7686860699232,8
600,36,5,0.498,1417.2123368838193,3
600,36,5,0.5781,1511.3961030678925,12
600,36,5,0.6079,1444.7331521639903,20
600,36,5,0.4745,1368.691521603648,7
600,36,5,0.4995,1447.2123368838193,6
600,36,5,0.5324,1445.0174234114525,11
600,64,5,0.5082666666666666,899.4234482783625,9
600,64,5,0.5813333333333334,819.2041481883563,12
600,64,5,0.5952,805.7838379715733,11
600,64,5,0.5548444444444445,829.9137802864844,10
600,64,5,0.5134222222222222,805.9909447527599,6
600,64,5,0.5162666666666667,780.3574311003804,3
600,64,5,0.5896888888888889,764.8488091290288,11
600,64,5,0.7146666666666667,803.3818177180199,21
600,64,5,0.5639111111111111,869.8315651863259,10
600,64,5,0.5751111111111111,754.399061660723,11
600,64,5,0.5877333333333333,778.2274887854693,12
600,64,5,0.6314666666666666,866.7188668141176,14
600,64,5,0.5553777777777777,863.7604973744602,12
600,64,5,0.6298666666666667,813.2691193458118,12
600,64,5,0.6074666666666667,830.0914498161483,11
