Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
500,4,0.75,7,0.759632,11358.299992347327,372
500,4,0.75,7,0.750928,11644.265504461922,376
500,4,0.75,7,0.739136,11393.251219112051,337
500,4,0.75,7,0.748656,11396.122322817664,358
500,16,0.75,7,0.759616,2849.9770183403857,91
500,16,0.75,7,0.775168,2992.196318430392,106
500,16,0.75,7,0.739392,3112.8064914856586,100
500,16,0.75,7,0.763904,2942.592242029535,102
500,16,0.75,7,0.735296,3211.984161015322,105
500,16,0.75,7,0.768448,2894.9110011624034,92
500,16,0.75,7,0.740352,3068.367891305646,94
500,16,0.75,7,0.760064,3046.089716712594,100
500,16,0.75,7,0.733504,3004.497833620557,98
500,16,0.75,7,0.744576,2955.1597385039327,93
500,16,0.75,7,0.759424,2924.242999624618,99
500,16,0.75,7,0.751616,3103.829832082771,95
500,16,0.75,7,0.74944,2937.349601342416,90
500,16,0.75,7,0.729024,3012.4206691542818,82
500,16,0.75,7,0.7472,2918.1008640008868,91
500,16,0.75,7,0.736384,3031.202415084802,92
500,25,0.75,7,0.7559,1914.901766446414,60
500,25,0.75,7,0.7584,2044.907863100824,65
500,25,0.75,7,0.7435,2019.186037693876,59
500,25,0.75,7,0.785,1870.6113985445425,75
500,25,0.75,7,0.7323,2058.4225817265856,68
500,25,0.75,7,0.7473,1968.2743494484448,64
500,25,0.75,7,0.7932,1859.55147802097,68
500,25,0.75,7,0.7567,2029.7718241315029,71
500,25,0.75,7,0.7517,2010.173844385056,67
500,25,0.75,7,0.7599,1943.818505325729,59
500,25,0.75,7,0.7149,2031.97283425828,66
500,25,0.75,7,0.7685,1956.481456229631,70
500,25,0.75,7,0.7548,1980.3037866999675,65
500,25,0.75,7,0.7374,2039.8895731375944,72
500,25,0.75,7,0.7564,1977.4936495384509,60
500,25,0.75,7,0.7602,1932.025612106916,62
500,25,0.75,7,0.7286,1927.6997102991108,55
500,25,0.75,7,0.7444,1963.7890680742053,67
500,25,0.75,7,0.7559,1940.0966799187809,68
500,25,0.75,7,0.7493,2039.1149698820104,66
500,25,0.75,7,0.7673,1872.5403307326767,62
500,25,0.75,7,0.7385,1930.510893481154,55
500,25,0.75,7,0.7076,2047.96673760387,48
500,25,0.75,7,0.7477,1824.4804102091043,51
500,25,0.75,7,0.7243,2033.3281733176068,62
500,100,0.75,7,0.7284,510.20310216782974,18
500,100,0.75,7,0.7332,580.286363288515,20
500,100,0.75,7,0.7668,558.445742854949,18
500,100,0.75,7,0.7748,538.9604614807104,17
500,100,0.75,7,0.7344,567.0731598529185,18
500,100,0.75,7,0.7436,495.3746750430835,15
500,100,0.75,7,0.7824,567.9371208835975,23
500,100,0.75,7,0.7784,503.5817818242701,21
500,100,0.75,7,0.7192,536.6173157302028,21
500,100,0.75,7,0.8076,544.3807716974934,23
500,100,0.75,7,0.802,524.6883835420683,22
500,100,0.75,7,0.76,470.889393668845,12
500,100,0.75,7,0.6972,619.2508293825822,17
500,100,0.75,7,0.7948,544.3097038856279,23
500,100,0.75,7,0.7576,552.2091988222396,20
500,100,0.75,7,0.7384,590.8305191657992,18
500,100,0.75,7,0.7732,520.2264427649427,15
500,100,0.75,7,0.806,504.4102089490163,24
500,100,0.75,7,0.6512,621.3807716974934,15
500,100,0.75,7,0.7512,544.0315292925759,22
500,100,0.75,7,0.806,466.5340546095176,16
500,100,0.75,7,0.7692,527.5817818242701,19
500,100,0.75,7,0.812,506.1259377015544,17
500,100,0.75,7,0.8076,547.5462479183374,23
500,100,0.75,7,0.764,560.6173157302028,20
500,100,0.75,7,0.7172,590.97875144394,20
500,100,0.75,7,0.6548,605.7949852598665,15
500,100,0.75,7,0.7756,508.9310242291876,21
500,100,0.75,7,0.736,504.9188309203678,13
500,100,0.75,7,0.7644,538.2741699796952,18
500,100,0.75,7,0.7112,590.3452377915606,17
500,100,0.75,7,0.7028,614.1797615707168,21
500,100,0.75,7,0.772,520.0609665440987,19
500,100,0.75,7,0.7812,536.9838020778234,16
500,100,0.75,7,0.8064,532.4041122946064,21
500,100,0.75,7,0.7392,576.4163056034262,21
500,100,0.75,7,0.7956,490.51071401240455,20
500,100,0.75,7,0.7808,599.0670631985087,22
500,100,0.75,7,0.762,597.8660530717319,19
500,100,0.75,7,0.7772,522.2325394193526,18
500,100,0.75,7,0.7564,541.3807716974934,19
500,100,0.75,7,0.714,545.9310242291875,21
500,100,0.75,7,0.7724,571.3158005400378,17
500,100,0.75,7,0.7364,528.8538597629122,14
500,100,0.75,7,0.73,565.4102089490162,18
500,100,0.75,7,0.7704,529.445742854949,17
500,100,0.75,7,0.7608,513.4396462005391,17
500,100,0.75,7,0.6892,598.8954903232549,18
500,100,0.75,7,0.7624,564.9310242291876,19
500,100,0.75,7,0.7364,559.7239174480011,18
500,100,0.75,7,0.7388,572.3452377915607,21
500,100,0.75,7,0.6504,593.9959953866431,14
500,100,0.75,7,0.78,563.445742854949,24
500,100,0.75,7,0.7852,538.303607231218,21
500,100,0.75,7,0.7648,559.2325394193526,17
500,100,0.75,7,0.754,555.1381310103741,18
500,100,0.75,7,0.7052,614.723917448001,24
500,100,0.75,7,0.7944,502.6467529817257,22
500,100,0.75,7,0.7716,517.4102089490162,18
500,100,0.75,7,0.7552,582.3158005400378,14
500,100,0.75,7,0.7336,541.3391411371508,13
500,100,0.75,7,0.7736,504.611219075793,16
500,100,0.75,7,0.7608,493.6761902332485,16
500,100,0.75,7,0.6584,570.303607231218,11
500,100,0.75,7,0.7268,541.7178207935912,16
500,100,0.75,7,0.7504,505.9604614807104,18
500,100,0.75,7,0.6996,542.167568261897,14
500,100,0.75,7,0.7512,530.5462479183373,20
500,100,0.75,7,0.7792,543.3452377915607,22
500,100,0.75,7,0.776,534.9959953866431,16
500,100,0.75,7,0.744,554.2386360737624,22
500,100,0.75,7,0.7896,533.8954903232549,20
500,100,0.75,7,0.754,574.2031021678297,17
500,100,0.75,7,0.7412,545.6467529817257,17
500,100,0.75,7,0.7156,582.9665581351203,21
500,100,0.75,7,0.7848,518.9604614807104,21
500,100,0.75,7,0.8,517.6822868876584,21
500,100,0.75,7,0.7728,543.5168106668145,21
500,100,0.75,7,0.6376,606.1797615707168,15
500,100,0.75,7,0.8044,565.1025971044414,23
500,100,0.75,7,0.7092,537.9604614807105,13
500,100,0.75,7,0.818,481.469083452062,19
500,100,0.75,7,0.6936,561.1736649163068,16
500,100,0.75,7,0.7852,497.2325394193526,15
500,100,0.75,7,0.6444,539.1025971044414,9
500,100,0.75,7,0.7272,568.7239174480011,16
500,100,0.75,7,0.7804,522.8772003600252,14
500,100,0.75,7,0.6928,540.1025971044414,15
500,100,0.75,7,0.6728,580.9371208835975,18
500,100,0.75,7,0.7048,518.1025971044414,14
500,100,0.75,7,0.7796,566.8599564173221,20
500,100,0.75,7,0.7624,506.8954903232548,19
500,100,0.75,7,0.7284,513.8244225113895,13
500,100,0.75,7,0.7468,548.3746750430836,21
500,100,0.75,7,0.694,545.4812767608818,16
500,100,0.75,7,0.7648,533.6173157302028,21
500,100,0.75,7,0.7432,498.1553749530772,12
500,100,0.75,7,0.7744,505.8538597629122,18
500,100,0.75,7,0.8188,468.4396462005392,19
500,100,0.75,7,0.7008,638.5645378815669,23
600,4,0.75,7,0.7702,13398.290070548312,385
600,4,0.75,7,0.7404333333333334,13783.5753878163,349
600,4,0.75,7,0.7509777777777777,13871.162220274451,371
600,4,0.75,7,0.7349777777777777,13950.642451014808,334
600,9,0.75,7,0.7736,6124.020053858753,180
600,9,0.75,7,0.746475,6337.038343821983,163
600,9,0.75,7,0.760475,5918.558113081627,165
600,9,0.75,7,0.7541,6122.848480983499,151
600,9,0.75,7,0.74835,6263.423120132833,175
600,9,0.75,7,0.717075,6619.986611993874,147
600,9,0.75,7,0.75425,6355.932788124711,171
600,9,0.75,7,0.7513,6296.382535593018,173
600,9,0.75,7,0.7367,6478.655659552185,156
600,16,0.75,7,0.7570222222222223,3637.89079862687,100
600,16,0.75,7,0.7623111111111112,3508.150683256693,103
600,16,0.75,7,0.7533333333333333,3636.642061285341,98
600,16,0.75,7,0.7748,3253.5344135470164,98
600,16,0.75,7,0.7752888888888889,3466.558800164656,98
600,16,0.75,7,0.7861777777777778,3501.908042569573,106
600,16,0.75,7,0.7168888888888889,3737.677595191273,83
600,16,0.75,7,0.7167111111111111,3859.111144737403,91
600,16,0.75,7,0.7655111111111111,3442.807537506185,97
600,16,0.75,7,0.7305333333333334,3707.358836058405,101
600,16,0.75,7,0.7425333333333334,3554.985207035849,77
