Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.005643101367762003,0.76426002274884,167.05337119227,8419,8419.0,1,2.5595001461573822e-06,2.4626369961584607e-06
2,0.005653644863776296,0.7635721409546,167.09158529481002,8413,8413.0,1,2.55984439431456e-06,2.447707158205797e-06
3,0.005657572909269633,0.76279241508065,167.93506973507,8440,8440.0,1,2.5440788965293007e-06,2.432620554677263e-06
4,0.005688392945585048,0.7615190826686701,168.20554894474,8413,8413.0,1,2.516094739099345e-06,2.4050493123926934e-06
5,0.005670361631324619,0.7630649673994,167.43633417344,8405,8405.0,1,2.5181960173438714e-06,2.4067142114140045e-06
6,0.005648129870409141,0.7635537129859,167.02013492991,8407,8407.0,1,2.5395386504325825e-06,2.4273768390452788e-06
7,0.005632954730291142,0.7650383600326299,166.69271243574,8417,8417.0,1,2.5605659556678295e-06,2.4489108108348873e-06
8,0.005680070221698066,0.7621516333030299,167.9444480041,8411,8411.0,1,2.5124311114587066e-06,2.4013731543855552e-06
9,0.005644569766743039,0.76396381733291,167.27069966591998,8427,8427.0,1,2.539570145384584e-06,2.4277632259165923e-06
10,0.0056875332340037355,0.76134516524998,167.79826003791,8403,8403.0,1,2.5411462735496115e-06,2.4309043675624084e-06
11,0.005629755168564563,0.76463662350302,167.20971989054,8446,8446.0,1,2.5584974956477135e-06,2.446433738965175e-06
12,0.005646472413956271,0.7631478074284,167.6365148753,8442,8442.0,1,2.542887110593148e-06,2.4313894174931343e-06
13,0.005680250335353452,0.76245781338984,167.62044374401,8396,8396.0,1,2.554252383715098e-06,2.4424308333341753e-06
14,0.005628216892721223,0.7644107852918801,167.0835089871,8442,8442.0,1,2.55300899938379e-06,2.4412611387649954e-06
15,0.0056824427269486525,0.76186623907801,168.36268726866,8421,8421.0,1,2.5040430094991516e-06,2.3936495309604754e-06
16,0.005627063960224737,0.7655559224381,166.38680855046002,8411,8411.0,1,2.5985945647749235e-06,2.484970592269071e-06
17,0.005657084783907169,0.7633849164191501,167.03191835261,8404,8404.0,1,2.5626862268029803e-06,2.4507154164417392e-06
18,0.0056415502417784666,0.76367782731737,167.2802007645,8432,8432.0,1,2.552127623936018e-06,2.4407650272221067e-06
19,0.0056587802129426075,0.76273902005301,167.71139739176002,8428,8428.0,1,2.5548866526310215e-06,2.4437682458420127e-06
20,0.005646429253607442,0.7637242743240699,166.9990725151,8412,8412.0,1,2.533767228866007e-06,2.4225406919440504e-06
21,0.005640775897185604,0.7642258936893002,167.14728448043002,8425,8425.0,1,2.5653217615382775e-06,2.4527079820341128e-06
22,0.005647557681231687,0.7638185378395401,167.35000883909998,8432,8432.0,1,2.544940007352193e-06,2.433908751266842e-06
23,0.005675259265131794,0.76194528252396,167.94211493748998,8417,8417.0,1,2.5007020578016152e-06,2.390708052803016e-06
24,0.005639284555056187,0.76404359389351,167.15346322154,8435,8435.0,1,2.536778345507785e-06,2.4254051919830393e-06
