Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.004080793753621757,0.84516032420351,170.87616164936,10230,10230.0,1,3.1180421205314975e-06,2.986241001450241e-06
2,0.004080098478200725,0.84546891019833,170.14992963592,10199,10199.0,1,3.1347421601204547e-06,2.9806741351211164e-06
3,0.00408169418169349,0.84505847528453,170.68377184438998,10219,10219.0,1,3.1288351284316183e-06,2.975629041127768e-06
4,0.0041037905739667495,0.8440420612757701,171.30184010396002,10207,10207.0,1,3.1126781113321985e-06,2.9602905343133607e-06
5,0.004096926114374833,0.8448673572550699,170.5292513565,10182,10182.0,1,3.1199628221687715e-06,2.9670646421310265e-06
6,0.004082860912274054,0.8453372051222301,169.93610042308998,10175,10175.0,1,3.1370252251134043e-06,2.982780323462889e-06
7,0.00407691785368494,0.8461067301731201,170.06532196676,10198,10198.0,1,3.1379071495483383e-06,2.984244175520229e-06
8,0.004095685893620626,0.84442175775757,171.12960897039,10218,10218.0,1,3.0882463666900013e-06,2.9351547902358406e-06
9,0.004076446520649397,0.84538462236429,170.82633136711001,10246,10246.0,1,3.11260531415097e-06,2.959279723341435e-06
10,0.004097174180654008,0.84435819375354,170.79346312331998,10200,10200.0,1,3.1295505806821236e-06,2.976795104266094e-06
11,0.00407277647414002,0.8457270769824301,170.57521098657,10241,10241.0,1,3.123741718334607e-06,2.970112064529636e-06
12,0.004076986078383413,0.84529598342343,170.51686373729999,10223,10223.0,1,3.120406660866418e-06,2.9669702783702873e-06
13,0.004094908861529817,0.8447362311255899,170.84912574939,10198,10198.0,1,3.119956249069616e-06,2.9673391759136375e-06
14,0.004065944528157008,0.84559297461714,170.56149514209,10252,10252.0,1,3.132899816798338e-06,2.979080716305822e-06
15,0.004099221275154695,0.8443623214500501,171.27464741131,10211,10211.0,1,3.093925423151111e-06,2.9419745209628607e-06
16,0.00406853344841168,0.8467020638553199,169.34459441865,10179,10179.0,1,3.1762911210704764e-06,3.021423458056954e-06
17,0.004094205706414058,0.84459156937758,170.72120777466,10199,10199.0,1,3.1186180409554526e-06,2.9651772256285784e-06
18,0.004064455366226849,0.8460106362467199,169.93378492761002,10217,10217.0,1,3.146216555443832e-06,2.9919528215975353e-06
19,0.004077151439537333,0.8454865637067099,170.11415163481,10197,10197.0,1,3.1295985485097316e-06,2.975696207330791e-06
20,0.004068437654456405,0.845961510025,169.66169740756,10191,10191.0,1,3.14356351585217e-06,2.989629226638289e-06
21,0.004088917170006442,0.8449801679851601,171.03381024162,10221,10221.0,1,3.106931583641625e-06,2.9539418109699777e-06
22,0.004074469540399124,0.8457553871636501,170.32646565088,10217,10217.0,1,3.1311484429059718e-06,2.97763247601166e-06
23,0.004092724550872554,0.84476055689382,170.71143693603,10200,10200.0,1,3.1137988542527593e-06,2.9610214483165095e-06
24,0.004081268485890132,0.8455613319395899,170.3131467041,10206,10206.0,1,3.1229976786687552e-06,2.9693645346478305e-06
