Seed,Blobiness,M0,M1,M2
10,1,0.100444,3495.2734828966672,-16
10,1,0.188964,5450.665581351203,-19
10,1,0.28208,7020.9672760101175,-17
10,1,0.381208,8090.799887216968,-7
10,2,0.104968,6596.250501237053,-94
10,2,0.197188,10248.146350497806,-101
10,2,0.292164,12975.578166940382,-77
10,2,0.38756,14643.02913989796,-39
10,3,0.104388,9222.804071299077,-204
10,3,0.1976,14499.89100888759,-223
10,3,0.294104,18898.09970009555,-188
10,3,0.392628,21618.36604031728,-83
10,4,0.101364,11508.061176804818,-390
10,4,0.198584,19213.20525579282,-426
10,4,0.297448,24598.67906173324,-314
10,4,0.393844,27985.02675050335,-148
10,5,0.1005,13755.145663414778,-637
10,5,0.198376,23291.23313940953,-672
10,5,0.297592,30042.88984498225,-478
10,5,0.3951,34356.418341343604,-292
10,6,0.100776,15675.534623807733,-903
10,6,0.198816,26939.475093013632,-982
10,6,0.297452,35026.96650183425,-748
10,6,0.395772,40559.67389321454,-380
10,7,0.100816,17302.99360599203,-1251
10,7,0.199692,30153.33418287917,-1320
10,7,0.297284,39524.99229340991,-1019
10,7,0.396896,46250.09787989916,-508
10,8,0.100648,18465.84641973441,-1641
10,8,0.200208,32809.32826569352,-1690
10,8,0.298472,43695.518518261466,-1349
10,8,0.397476,51589.914652121326,-665
10,9,0.101224,19556.716477419504,-2051
10,9,0.201016,35161.73952066306,-2184
10,9,0.299228,47178.16545071194,-1691
10,9,0.398356,56367.16879903424,-867
10,10,0.1013,20243.9753160288,-2517
10,10,0.201444,37157.24413802105,-2673
10,10,0.300684,50532.12905025423,-2056
10,10,0.399884,60586.77619296542,-1006
10,1,0.808372,6568.471713899363,32
10,1,0.905212,4743.208511739212,28
10,1,0.999996,1996.8284271247464,1
10,1,1.0,1996.0,0
10,2,0.796432,12381.202445876772,138
10,2,0.904264,8409.084158464431,130
10,2,0.999996,2001.6568542494924,1
10,2,1.0,1996.0,0
10,3,0.79896,17951.4844764064,295
10,3,0.901812,12187.511103741874,283
10,3,0.999996,1996.8284271247464,1
10,3,1.0,1996.0,0
10,4,0.799752,23366.70658641245,498
10,4,0.901732,15742.015213485589,483
10,4,0.999996,1996.8284271247464,1
10,4,1.0,1996.0,0
10,5,0.799732,29257.70539171515,804
10,5,0.901904,19396.425960840854,745
10,5,0.999996,1996.8284271247464,1
10,5,1.0,1996.0,0
10,6,0.80022,34799.16108716108,1144
10,6,0.90108,23366.376859460048,1072
10,6,0.999996,1996.8284271247464,1
10,6,1.0,1996.0,0
10,7,0.799776,40611.54066416127,1563
10,7,0.900296,27120.179525801093,1425
10,7,0.999996,1996.8284271247464,1
10,7,1.0,1996.0,0
10,8,0.799416,45915.20747100176,1995
10,8,0.899896,31022.04925534065,1855
10,8,0.999996,1996.8284271247464,1
10,8,1.0,1996.0,0
10,9,0.798864,51281.082430643946,2513
10,9,0.899076,35009.80733252853,2324
10,9,0.999996,1996.8284271247464,1
10,9,1.0,1996.0,0
10,10,0.798564,56364.62225376234,3073
10,10,0.89858,38535.53893105772,2802
10,10,0.999996,1996.8284271247464,1
10,10,1.0,1996.0,0
10,1,0.808372,6568.471713899363,32
10,1,0.905212,4743.208511739212,28
10,2,0.796432,12381.202445876772,138
10,2,0.904264,8409.084158464431,130
10,3,0.79896,17951.4844764064,295
10,3,0.901812,12187.511103741874,283
10,4,0.799752,23366.70658641245,498
10,4,0.901732,15742.015213485589,483
10,5,0.799732,29257.70539171515,804
10,5,0.901904,19396.425960840854,745
10,6,0.80022,34799.16108716108,1144
10,6,0.90108,23366.376859460048,1072
10,7,0.799776,40611.54066416127,1563
10,7,0.900296,27120.179525801093,1425
10,8,0.799416,45915.20747100176,1995
10,8,0.899896,31022.04925534065,1855
10,9,0.798864,51281.082430643946,2513
10,9,0.899076,35009.80733252853,2324
10,10,0.798564,56364.62225376234,3073
10,10,0.89858,38535.538931057716,2802
