Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
50,100,0.75,15,0.64,24.68901391928019,7
50,100,0.75,15,0.68,22.56285722521549,4
50,100,0.75,15,0.64,20.436700531150805,5
50,100,0.75,15,0.76,21.5474212656904,3
50,100,0.75,15,0.68,25.56969685769213,4
50,100,0.75,15,0.76,26.68041759223172,4
50,100,0.75,15,0.72,20.9920608984206,4
50,100,0.75,15,0.8,19.651302367753352,4
50,100,0.75,15,0.72,28.021176122898964,4
50,100,0.75,15,0.68,24.363691348138047,8
50,100,0.75,15,0.52,25.244374286549984,5
50,100,0.75,15,0.68,21.22209869454825,4
50,100,0.75,15,0.6,21.77745906181805,3
50,100,0.75,15,0.6,22.79289502134315,7
50,100,0.75,15,0.64,19.09594200048356,5
50,100,0.75,15,0.6,22.33281942908784,3
50,100,0.75,15,0.64,24.78429869429468,2
50,100,0.75,15,0.68,19.881340163881006,5
50,100,0.75,15,0.8,22.88817979635764,4
50,100,0.75,15,0.8,22.33281942908784,5
50,100,0.75,15,0.68,26.12505722496192,3
50,100,0.75,15,0.72,26.12505722496192,5
50,100,0.75,15,0.68,19.651302367753352,4
50,100,0.75,15,0.68,23.90361575588274,5
50,100,0.75,15,0.56,22.33281942908784,4
50,100,0.75,15,0.76,24.228938327024885,4
50,100,0.75,15,0.64,24.228938327024885,4
50,100,0.75,15,0.56,24.228938327024885,3
50,100,0.75,15,0.76,22.0074968579457,5
50,100,0.75,15,0.76,23.90361575588274,6
50,100,0.75,15,0.68,25.149089511535493,8
50,100,0.75,15,0.72,23.11821759248529,5
50,100,0.75,15,0.52,22.88817979635764,3
50,100,0.75,15,0.6,20.9920608984206,2
50,100,0.75,15,0.52,23.67357795975509,4
50,100,0.75,15,0.84,19.421264571625706,2
50,100,0.75,15,0.48,21.77745906181805,2
50,100,0.75,15,0.64,20.762023102292943,2
50,100,0.75,15,0.8,22.332819429087845,4
50,100,0.75,15,0.6,23.11821759248529,4
50,100,0.75,15,0.64,23.90361575588274,5
50,100,0.75,15,0.72,24.45897612315254,4
50,100,0.75,15,0.52,23.90361575588274,4
50,100,0.75,15,0.6,23.90361575588274,4
50,100,0.75,15,0.64,26.68041759223172,3
50,100,0.75,15,0.76,20.762023102292947,3
50,100,0.75,15,0.52,19.65130236775336,2
50,100,0.75,15,0.6,21.77745906181805,4
50,100,0.75,15,0.72,23.99890053089723,2
50,100,0.75,15,0.72,25.56969685769213,5
50,100,0.75,15,0.56,23.022932817470803,8
50,100,0.75,15,0.72,22.56285722521549,5
50,100,0.75,15,0.68,25.79973465381978,5
50,100,0.75,15,0.56,24.59372914426569,7
50,100,0.75,15,0.68,23.022932817470803,7
50,100,0.75,15,0.72,21.5474212656904,4
50,100,0.75,15,0.72,23.67357795975509,4
50,100,0.75,15,0.72,21.77745906181805,5
50,100,0.75,15,0.8,22.658142000229983,2
50,100,0.75,15,0.72,25.01433649042233,5
50,100,0.75,15,0.68,22.10278163296019,3
50,100,0.75,15,0.72,24.228938327024885,3
50,100,0.75,15,0.68,21.77745906181805,5
50,100,0.75,15,0.56,20.9920608984206,6
50,100,0.75,15,0.8,19.651302367753352,4
50,100,0.75,15,0.64,23.44354016362744,2
50,100,0.75,15,0.76,16.969785306418867,3
50,100,0.75,15,0.64,27.46581575562917,3
50,100,0.75,15,0.64,26.91045538835937,4
50,100,0.75,15,0.52,13.732907877814585,2
50,100,0.75,15,0.6,20.20666273502315,3
50,100,0.75,15,0.64,23.67357795975509,5
50,100,0.75,15,0.56,23.67357795975509,4
50,100,0.75,15,0.6,23.022932817470803,6
50,100,0.75,15,0.72,21.77745906181805,4
50,100,0.75,15,0.56,21.22209869454825,4
50,100,0.75,15,0.52,21.77745906181805,2
50,100,0.75,15,0.52,22.33281942908784,3
50,100,0.75,15,0.88,20.20666273502315,3
50,100,0.75,15,0.8,19.65130236775336,3
50,100,0.75,15,0.72,25.79973465381978,5
50,100,0.75,15,0.68,18.865904204355907,3
50,100,0.75,15,0.56,17.98522126594397,3
50,100,0.75,15,0.56,22.56285722521549,4
50,100,0.75,15,0.72,25.79973465381978,5
50,100,0.75,15,0.76,22.33281942908784,4
50,100,0.75,15,0.76,20.20666273502315,3
50,100,0.75,15,0.84,21.5474212656904,3
50,100,0.75,15,0.76,23.44354016362744,3
50,100,0.75,15,0.72,20.436700531150805,4
50,100,0.75,15,0.72,20.436700531150805,5
50,100,0.75,15,0.64,23.67357795975509,5
50,100,0.75,15,0.76,24.228938327024885,5
50,100,0.75,15,0.64,21.77745906181805,4
50,100,0.75,15,0.8,24.228938327024885,5
50,100,0.75,15,0.92,16.739747510291217,2
50,100,0.75,15,0.68,23.443540163627432,3
50,100,0.75,15,0.68,23.11821759248529,5
50,100,0.75,15,0.72,23.90361575588274,6
50,100,0.75,15,0.6,28.021176122898964,4
100,100,0.75,15,0.65,83.58710449362444,22
100,100,0.75,15,0.59,76.61380579806189,15
100,100,0.75,15,0.73,75.043009471267,13
100,100,0.75,15,0.63,77.72452653260147,13
100,100,0.75,15,0.73,78.41463992098444,18
100,100,0.75,15,0.67,79.52536065552403,15
100,100,0.75,15,0.67,74.9477246962525,11
100,100,0.75,15,0.61,78.50992469599893,11
100,100,0.75,15,0.66,80.73136616507811,9
100,100,0.75,15,0.75,78.50992469599893,14
100,100,0.75,15,0.69,78.97000028825424,18
100,100,0.75,15,0.55,82.43691551298618,13
100,100,0.75,15,0.74,74.58293387901169,11
100,100,0.75,15,0.67,76.61380579806189,12
100,100,0.75,15,0.78,70.69541130812311,14
100,100,0.75,15,0.63,79.75539845165167,17
100,100,0.75,15,0.64,82.66695330911382,16
100,100,0.75,15,0.64,73.14689057332996,11
100,100,0.75,15,0.57,79.2000380843819,13
100,100,0.75,15,0.67,77.39920396145934,12
100,100,0.75,15,0.68,77.07388139031718,16
100,100,0.75,15,0.68,78.97000028825423,14
100,100,0.75,15,0.74,72.91685277720231,13
100,100,0.75,15,0.66,70.69541130812311,12
100,100,0.75,15,0.64,79.7553984516517,16
100,100,0.75,15,0.6,77.30391918644486,13
100,100,0.75,15,0.69,69.44993755247037,11
100,100,0.75,15,0.75,67.22849608339118,14
100,100,0.75,15,0.75,72.03616983879036,15
100,100,0.75,15,0.7,69.81472836971116,18
100,100,0.75,15,0.71,74.16232653285506,16
100,100,0.75,15,0.73,82.30216249187302,16
100,100,0.75,15,0.74,79.62064543053852,15
100,100,0.75,15,0.67,70.00529791974017,10
100,100,0.75,15,0.71,79.62064543053853,16
100,100,0.75,15,0.68,76.93912836920404,10
100,100,0.75,15,0.68,70.69541130812311,11
100,100,0.75,15,0.7,62.9761826952618,8
100,100,0.75,15,0.7,77.39920396145935,14
100,100,0.75,15,0.71,69.91001314472567,13
100,100,0.75,15,0.67,83.08756065527047,14
100,100,0.75,15,0.68,76.84384359418954,14
100,100,0.75,15,0.71,74.62240212511036,18
100,100,0.75,15,0.69,76.61380579806189,15
100,100,0.75,15,0.62,79.20003808438189,17
100,100,0.75,15,0.65,73.70225094059975,11
100,100,0.75,15,0.72,71.02073387926526,13
100,100,0.75,15,0.67,70.83016432923628,16
100,100,0.75,15,0.75,65.65769975659629,10
100,100,0.75,15,0.74,76.61380579806189,15
100,100,0.75,15,0.64,82.43691551298616,15
100,100,0.75,15,0.7,74.06704175784057,20
100,100,0.75,15,0.61,83.08756065527047,10
100,100,0.75,15,0.74,68.98986196021507,10
100,100,0.75,15,0.66,82.99227588025597,16
100,100,0.75,15,0.64,82.30216249187302,13
100,100,0.75,15,0.64,69.77526012361251,11
100,100,0.75,15,0.62,80.50132836895045,8
100,100,0.75,15,0.76,69.44993755247037,10
100,100,0.75,15,0.7,77.95456432872913,16
100,100,0.75,15,0.7,72.26620763491802,17
100,100,0.75,15,0.72,82.85752285914282,14
100,100,0.75,15,0.75,68.01389424678862,14
100,100,0.75,15,0.65,83.35706669749678,20
100,100,0.75,15,0.73,71.57609424653506,11
100,100,0.75,15,0.66,83.31759845139811,15
100,100,0.75,15,0.67,77.95456432872913,13
100,100,0.75,15,0.7,73.83700396171292,16
100,100,0.75,15,0.7,75.17776249238015,20
100,100,0.75,15,0.61,74.39236432898271,15
100,100,0.75,15,0.72,75.73312285964995,17
100,100,0.75,15,0.68,72.13145461380485,12
100,100,0.75,15,0.68,81.74680212460322,16
100,100,0.75,15,0.73,72.59153020606016,15
100,100,0.75,15,0.64,74.94772469625251,14
100,100,0.75,15,0.64,71.25077167539291,12
100,100,0.75,15,0.69,84.84892653209434,11
100,100,0.75,15,0.72,67.78385645066098,11
100,100,0.75,15,0.71,77.72452653260149,13
100,100,0.75,15,0.65,82.20687771685851,16
100,100,0.75,15,0.7,79.06528506326872,13
100,100,0.75,15,0.66,73.28164359444311,16
100,100,0.75,15,0.71,74.29707955396822,19
100,100,0.75,15,0.62,79.16056983828322,9
100,100,0.75,15,0.69,71.80613204266271,12
100,100,0.75,15,0.8,70.46537351199547,14
100,100,0.75,15,0.68,76.15373020580658,14
100,100,0.75,15,0.7,74.06704175784057,14
100,100,0.75,15,0.7,77.16916616533169,16
100,100,0.75,15,0.65,76.19319845190526,17
100,100,0.75,15,0.62,83.08756065527047,11
100,100,0.75,15,0.58,79.6601136766372,14
100,100,0.75,15,0.66,75.043009471267,12
100,100,0.75,15,0.64,70.69541130812311,11
100,100,0.75,15,0.62,68.24393204291628,14
100,100,0.75,15,0.64,71.25077167539291,10
100,100,0.75,15,0.72,73.70225094059975,14
100,100,0.75,15,0.68,76.84384359418954,14
100,100,0.75,15,0.63,85.11843257432066,17
100,100,0.75,15,0.69,73.60696616558528,15
150,100,0.75,15,0.6266666666666667,161.8669913934957,32
150,100,0.75,15,0.6266666666666667,167.97595543346347,24
150,100,0.75,15,0.6533333333333333,165.10386882210005,33
150,100,0.75,15,0.72,150.4508097597748,31
150,100,0.75,15,0.6266666666666667,167.09527249505152,26
150,100,0.75,15,0.6666666666666666,164.8343627798737,25
150,100,0.75,15,0.6933333333333334,158.72539873990593,33
150,100,0.75,15,0.64,160.430948087814,33
