Resolution,Subsamples,Blobiness,M0,M1,M2
500,4,2,0.571152,6043.988524566177,28
500,4,2,0.545744,5926.076836320746,30
500,4,2,0.505648,5876.307283699046,17
500,4,2,0.538384,5866.0179618177,24
500,16,2,0.593472,1711.2255762131654,17
500,16,2,0.617344,1535.6387437550122,16
500,16,2,0.49088,1555.1240251292504,5
500,16,2,0.607424,1634.8225099390856,16
500,16,2,0.491712,1707.9940828143397,2
500,16,2,0.58208,1597.3605691619605,7
500,16,2,0.502784,1583.9291116568838,9
500,16,2,0.581888,1600.052957317385,11
500,16,2,0.486208,1622.7220048756974,4
500,16,2,0.54336,1554.6742776609449,13
500,16,2,0.571392,1645.479364188578,14
500,16,2,0.538304,1716.3138879677342,8
500,16,2,0.5328,1546.5027047856909,9
500,16,2,0.460224,1502.1889962867062,8
500,16,2,0.535296,1552.1423150924804,11
500,16,2,0.508544,1418.519948728394,7
500,25,2,0.5946,1213.300648638388,14
500,25,2,0.5732,1048.7493500861672,10
500,25,2,0.4805,1094.216341497176,1
500,25,2,0.6489,1008.0863991822648,19
500,25,2,0.5127,1077.2346314604058,9
500,25,2,0.5265,1086.8082245892128,6
500,25,2,0.6762,1022.4234482783623,11
500,25,2,0.5293,1147.2762620207484,9
500,25,2,0.5459,1022.6427483683688,11
500,25,2,0.6064,1047.908729652601,6
500,25,2,0.4377,1093.5422433049807,0
500,25,2,0.5843,1081.5067093990478,9
500,25,2,0.5353,1107.613311116846,7
500,25,2,0.5052,1074.5777772109132,5
500,25,2,0.5521,1097.5422433049807,5
500,25,2,0.5467,1015.6072144624362,7
500,25,2,0.5016,1098.8143212436228,7
500,25,2,0.5311,1021.8731957466684,10
500,25,2,0.5331,1176.311795926681,7
500,25,2,0.5446,1096.0863991822648,9
500,25,2,0.57,1024.500612744638,10
500,25,2,0.4894,1074.6488450227787,5
500,25,2,0.4346,985.630555059549,3
500,25,2,0.57,1013.4123009900692,8
500,25,2,0.4759,938.488419435818,7
500,100,2,0.5564,323.7645019878172,5
500,100,2,0.5368,367.6995308303616,4
500,100,2,0.6448,331.75840533340727,4
500,100,2,0.6668,358.2436867076458,6
500,100,2,0.5144,290.6101730552664,3
500,100,2,0.5236,331.79393923934003,4
500,100,2,0.5896,330.072113832392,5
500,100,2,0.692,238.05992052357223,7
500,100,2,0.4904,291.51576464628795,4
500,100,2,0.706,371.4802307403552,4
500,100,2,0.6884,327.628463018496,8
500,100,2,0.5968,330.44469683442253,5
500,100,2,0.334,239.0893577750951,0
