Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007071067811865474,0.8877033746345601,69.101445989487,2884,2884.0,1,2.1460950332951802e-05,2.1178530342668215e-05
2,0.007071067811865474,0.88773957157141,69.075688872188,2878,2878.0,1,2.1112662161963055e-05,2.0833736494863755e-05
3,0.007071067811865475,0.88764094166275,69.170328354211,2883,2883.0,1,2.1100591720482147e-05,2.0823785108158993e-05
4,0.007071067811865475,0.88762266658929,69.098842581244,2883,2883.0,1,2.1165138119044605e-05,2.0884589707348595e-05
5,0.007071067811865474,0.88784069929985,69.024632348104,2877,2877.0,1,2.1091868407480615e-05,2.081473869617989e-05
6,0.007071067811865474,0.8875990713193901,69.13883617189299,2884,2884.0,1,2.146472528210361e-05,2.1182439188805256e-05
7,0.007071067811865474,0.88778156083932,69.023860586591,2884,2884.0,1,2.1012253958525556e-05,2.072798369000995e-05
8,0.007071067811865474,0.88742899291526,69.275928993471,2886,2886.0,1,2.0737288815742218e-05,2.0457426747268288e-05
9,0.007071067811865474,0.8878798769540699,68.969238988563,2881,2881.0,1,2.1116502426297112e-05,2.0838807337302828e-05
10,0.007071067811865474,0.8873967304463198,69.28281398987,2888,2888.0,1,2.100448591983574e-05,2.072337324338095e-05
11,0.007071067811865474,0.8875226729507,69.19719082049599,2886,2886.0,1,2.0952045693607805e-05,2.066512232116102e-05
12,0.007071067811865474,0.8878019949678199,69.059921335482,2878,2878.0,1,2.0616541254621133e-05,2.0333736243024933e-05
13,0.007071067811865475,0.8876846455824101,69.11705469037,2879,2879.0,1,2.0938036383018067e-05,2.0657667586736013e-05
14,0.007071067811865474,0.8875049257514599,69.208521057566,2885,2885.0,1,2.0944565634306762e-05,2.0663119272005726e-05
15,0.007071067811865474,0.8875892379952399,69.166662749973,2885,2885.0,1,2.0885602128668913e-05,2.0606584338296234e-05
16,0.007071067811865475,0.8875529766677199,69.226923313578,2883,2883.0,1,2.116814112919341e-05,2.08819241840689e-05
17,0.007071067811865474,0.88750909842785,69.224919418264,2888,2888.0,1,2.096542248085771e-05,2.0683066312054587e-05
18,0.007071067811865474,0.8876029271809499,69.11412972188,2885,2885.0,1,2.155117230435667e-05,2.1266036557842392e-05
19,0.007071067811865474,0.88761469200552,69.140815450852,2885,2885.0,1,2.092728760409306e-05,2.064687600457162e-05
20,0.007071067811865474,0.88758661935517,69.21465016395001,2884,2884.0,1,2.0784269846195203e-05,2.050369849537209e-05
21,0.007071067811865474,0.8872920792826,69.343838455,2889,2889.0,1,2.1152913364793137e-05,2.0869075099498776e-05
22,0.007071067811865474,0.8877400899315999,69.099387903483,2880,2880.0,1,2.1249782243697578e-05,2.0968782492262195e-05
23,0.007071067811865474,0.887402255915,69.26869481293801,2888,2888.0,1,2.0810622400620652e-05,2.0530821528787186e-05
24,0.007071067811865474,0.8875258901194,69.227421191117,2882,2882.0,1,2.074349656260983e-05,2.0464650759060696e-05
25,0.007071067811865474,0.88753373717452,69.209242927779,2886,2886.0,1,2.0815178238075625e-05,2.053433381522977e-05
