Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.01,0.6643296236654399,133.54410200382,4325,4325.0,1,3.7306294484391675e-06,3.611597559384611e-06
2,0.009999999999999998,0.66510116644985,133.21979795392,4313,4313.0,1,3.726703231296609e-06,3.607716003433783e-06
3,0.009999999999999998,0.6642021023963299,133.64229480433,4324,4324.0,1,3.6758500637254092e-06,3.5565529565881017e-06
4,0.01,0.66447549130754,133.44396610664,4319,4319.0,1,3.6098097404720357e-06,3.4867439042938103e-06
5,0.009999999999999998,0.6649310440495201,133.30638909521002,4313,4313.0,1,3.639668656636166e-06,3.520256482927539e-06
6,0.009999999999999998,0.66462241357221,133.37534283576,4320,4320.0,1,3.6131143471696906e-06,3.494834077659402e-06
7,0.01,0.6644801341227099,133.43035128918,4322,4322.0,1,3.7040299610388036e-06,3.583176722732705e-06
8,0.009999999999999998,0.66430672545625,133.54806925693998,4320,4320.0,1,3.5192549772204094e-06,3.4016003150755695e-06
9,0.009999999999999998,0.66516841635207,133.17689044017,4316,4316.0,1,3.7915317697420788e-06,3.672367440148676e-06
10,0.01,0.66412564365018,133.64315201646002,4325,4325.0,1,3.6956860804497486e-06,3.5758483716837216e-06
11,0.009999999999999998,0.66402127388157,133.64706670966999,4329,4329.0,1,3.5951411863071915e-06,3.473865250247254e-06
12,0.009999999999999998,0.6641744421809,133.65162890613001,4321,4321.0,1,3.6269215947440652e-06,3.5125762525096905e-06
13,0.009999999999999998,0.66477246278754,133.34102530619,4314,4314.0,1,3.6114806784099526e-06,3.4905345812087274e-06
14,0.009999999999999998,0.66416127339247,133.63755171641,4321,4321.0,1,3.529302789504492e-06,3.4111658030016146e-06
15,0.01,0.6638559077810601,133.75320651263002,4325,4325.0,1,3.610124443272109e-06,3.494667605204656e-06
16,0.009999999999999998,0.66421375593137,133.63975084682,4320,4320.0,1,3.609781304759878e-06,3.490937292960224e-06
17,0.01,0.66410074527362,133.59506885463,4325,4325.0,1,3.5570530116205775e-06,3.436430105171203e-06
18,0.009999999999999998,0.6644625663655,133.4770661332,4321,4321.0,1,3.7694926196898055e-06,3.6478663145898045e-06
19,0.01,0.66432566092395,133.56050603153,4322,4322.0,1,3.5714154896520044e-06,3.4539316933740597e-06
20,0.009999999999999998,0.6647304572418299,133.44193549462,4315,4315.0,1,3.6829952604095014e-06,3.5652404727325717e-06
