Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007978845608028654,0.8947086980517,84.79268014865599,4325,4325.0,1,1.0648656362536183e-05,1.0363352233677196e-05
2,0.007978845608028652,0.7861642259313101,120.40078191048,4313,4313.0,1,5.476417633505972e-06,5.293710241058876e-06
3,0.007978845608028652,0.7856556424227901,120.71448043911,4324,4324.0,1,5.428958908980113e-06,5.247591053355498e-06
4,0.007978845608028654,0.78577316883112,120.63546200216001,4319,4319.0,1,5.356332019109546e-06,5.174937917771081e-06
5,0.007978845608028652,0.78606952471831,120.4692574478,4313,4313.0,1,5.369867366727946e-06,5.188294878082559e-06
6,0.007978845608028652,0.7858655766563399,120.56155249192,4320,4320.0,1,5.396604732742222e-06,5.214926164585731e-06
7,0.007978845608028654,0.78576262624779,120.62200547264999,4322,4322.0,1,5.421487607526283e-06,5.239437985603199e-06
8,0.007978845608028652,0.7856798865098299,120.69875082639,4320,4320.0,1,5.281171982863387e-06,5.0999411008797255e-06
9,0.007978845608028652,0.7862269041034101,120.38289064283998,4316,4316.0,1,5.531598930905291e-06,5.347502191155131e-06
10,0.007978845608028654,0.78557481106113,120.76484069982,4325,4325.0,1,5.443306170929723e-06,5.26186334290515e-06
11,0.007978845608028652,0.78548418595604,120.80234186573,4329,4329.0,1,5.357248449775543e-06,5.176095507062114e-06
12,0.007978845608028652,0.7856288462823801,120.77661581777001,4321,4321.0,1,5.2921141685381965e-06,5.112597204765066e-06
13,0.007978845608028652,0.78596651322145,120.53414635997,4314,4314.0,1,5.353785456600623e-06,5.171838589585555e-06
14,0.007978845608028652,0.7856092428560301,120.79227216403,4321,4321.0,1,5.2876416779810745e-06,5.1076010623379855e-06
15,0.007978845608028654,0.78541851330145,120.89182345453999,4325,4325.0,1,5.33851583396864e-06,5.161409546007854e-06
16,0.007978845608028652,0.7856207890328499,120.76605815136999,4320,4320.0,1,5.349043284876954e-06,5.166471767636207e-06
17,0.007978845608028654,0.7855232938321499,120.7942887042,4325,4325.0,1,5.302415644177715e-06,5.11919074954836e-06
18,0.007978845608028652,0.78580077155001,120.66201945135,4321,4321.0,1,5.473682019397662e-06,5.289145469585085e-06
19,0.007978845608028654,0.78572141153975,120.6950547422,4322,4322.0,1,5.32981237050308e-06,5.149343454551656e-06
20,0.007978845608028652,0.78597947162424,120.59977395866999,4315,4315.0,1,5.4128695198870785e-06,5.231328553855188e-06
21,0.007978845608028652,0.7855359540685201,120.71100106473999,4327,4327.0,1,5.378244421714378e-06,5.197492026136805e-06
22,0.007978845608028652,0.78589591314647,120.58170686146002,4318,4318.0,1,5.410946158675669e-06,5.22832682935559e-06
23,0.007978845608028652,0.7856168114559899,120.72864614903,4323,4323.0,1,5.342849137936173e-06,5.164528468699898e-06
24,0.007978845608028652,0.78538664212963,120.91563805959998,4324,4324.0,1,5.250531971276987e-06,5.072383107346084e-06
25,0.007978845608028654,0.78574476580609,120.69161469678001,4322,4322.0,1,5.148229025337463e-06,4.968732321483243e-06
