Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.009999999999999998,0.88775135646647,44.767777171640006,1442,1442.0,1,4.296123455644248e-05,4.2591134230295125e-05
2,0.009999999999999998,0.8876751204372201,44.773683110127,1442,1442.0,1,4.239069754124903e-05,4.203486703977184e-05
3,0.009999999999999998,0.88761549696942,44.825245294990005,1442,1442.0,1,4.231180413045999e-05,4.1949199553451245e-05
4,0.009999999999999998,0.88797459609905,44.635530915739004,1441,1441.0,1,4.2527155887102293e-05,4.215505538278771e-05
5,0.009999999999999998,0.8881308116203199,44.594353254751994,1438,1438.0,1,4.18207296028206e-05,4.1460129528218175e-05
6,0.009999999999999998,0.88774318167701,44.723420289411,1444,1444.0,1,4.187198448362426e-05,4.149626468646073e-05
7,0.01,0.8877550942843001,44.695936708002996,1445,1445.0,1,4.422147063746596e-05,4.385857544117567e-05
8,0.01,0.88743758054774,44.896422538047,1445,1445.0,1,4.127023168928867e-05,4.0905117773141434e-05
9,0.009999999999999998,0.88810931606666,44.577699990761005,1442,1442.0,1,4.230011783590644e-05,4.193405359658864e-05
10,0.009999999999999998,0.88750322584504,44.793605201183006,1446,1446.0,1,4.196214012198807e-05,4.159606677438795e-05
11,0.009999999999999998,0.8878204375081199,44.712854670695,1442,1442.0,1,4.258797575207678e-05,4.221850622251325e-05
12,0.009999999999999998,0.88783531076843,44.726062602967,1441,1441.0,1,4.134702354624948e-05,4.0998521911089016e-05
13,0.009999999999999998,0.88767300046766,44.79604628939,1441,1441.0,1,4.2552251696687874e-05,4.2188346481265286e-05
14,0.009999999999999998,0.8876480220304699,44.790549324774,1442,1442.0,1,4.2732414292957156e-05,4.237127267094271e-05
15,0.009999999999999998,0.88790481903525,44.692371151886995,1441,1441.0,1,4.199365924328509e-05,4.1617073372540165e-05
16,0.009999999999999998,0.8878889591048199,44.697648362719,1441,1441.0,1,4.376016845458381e-05,4.339055991197409e-05
17,0.009999999999999998,0.88788087912884,44.635292107516,1442,1442.0,1,4.2389078863357966e-05,4.202537234689391e-05
18,0.009999999999999998,0.88781077096075,44.704357779076005,1443,1443.0,1,4.416113064130231e-05,4.378875292503712e-05
19,0.01,0.88750394257952,44.835582612248004,1445,1445.0,1,4.2164708541301e-05,4.180063396520518e-05
20,0.009999999999999998,0.8872026199487599,45.021450233775,1446,1446.0,1,4.171552341965301e-05,4.135202751779507e-05
