Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007978845608028652,0.9297604114472601,56.579790968893995,2884,2884.0,1,2.2318938813766756e-05,2.1856105648282585e-05
2,0.007978845608028652,0.85705374123946,80.50161409380901,2878,2878.0,1,1.3189583194058567e-05,1.2874697724718322e-05
3,0.007978845608028654,0.8569144835636601,80.590627885253,2883,2883.0,1,1.3255350152214067e-05,1.2943415866490046e-05
4,0.007978845608028654,0.85691492491381,80.599179140549,2883,2883.0,1,1.3262045594146998e-05,1.2945396858053046e-05
5,0.007978845608028652,0.8571669903500899,80.48434063324099,2877,2877.0,1,1.3202837589369629e-05,1.2890033397141586e-05
6,0.007978845608028652,0.85689042229222,80.60305359306,2884,2884.0,1,1.3517078933951534e-05,1.3197423862474273e-05
7,0.007978845608028652,0.85705629991736,80.508076287527,2884,2884.0,1,1.3163610927742835e-05,1.2840396247299193e-05
8,0.007978845608028652,0.85671550527999,80.739832710953,2886,2886.0,1,1.2909493386298024e-05,1.2599171049457497e-05
9,0.007978845608028652,0.8572013925653901,80.440832632964,2881,2881.0,1,1.3302586856515336e-05,1.2989556256584838e-05
10,0.007978845608028652,0.85666642477074,80.74921152649999,2888,2888.0,1,1.3137095908542011e-05,1.2820783195978871e-05
11,0.007978845608028652,0.8568314288646,80.633716260984,2886,2886.0,1,1.3034076200512264e-05,1.2714907007451286e-05
12,0.007978845608028652,0.8570811544718,80.54259499270701,2878,2878.0,1,1.2830877805744392e-05,1.2515276224526914e-05
13,0.007978845608028654,0.85696935973673,80.57791677477199,2879,2879.0,1,1.3030086801189052e-05,1.2715853185177707e-05
14,0.007978845608028652,0.85674050476946,80.752017326565,2885,2885.0,1,1.310156799627028e-05,1.2786218785359908e-05
15,0.007978845608028652,0.8568948563609899,80.62971720277,2885,2885.0,1,1.3025823118305438e-05,1.2712984050426768e-05
16,0.007978845608028654,0.85678693276241,80.726850261074,2883,2883.0,1,1.3272253495598484e-05,1.2950621781159842e-05
17,0.007978845608028652,0.8566949546707,80.732259098811,2888,2888.0,1,1.3078841451418215e-05,1.2762495390738807e-05
18,0.007978845608028652,0.85690934254247,80.643678548669,2885,2885.0,1,1.3637074853854606e-05,1.3314498714740682e-05
19,0.007978845608028652,0.8568883392851802,80.63321716034099,2885,2885.0,1,1.3019919828277623e-05,1.2704150580113132e-05
20,0.007978845608028652,0.85679836069713,80.73800550760899,2884,2884.0,1,1.292798915617732e-05,1.2613073497985041e-05
21,0.007978845608028652,0.8565016115739201,80.81024253897199,2889,2889.0,1,1.3327808748315247e-05,1.3010403405398927e-05
22,0.007978845608028652,0.8570562690995501,80.55418836625499,2880,2880.0,1,1.3327230666365118e-05,1.3007444924253984e-05
23,0.007978845608028652,0.85660520575086,80.760483474179,2888,2888.0,1,1.2984168571637045e-05,1.2673765735325852e-05
24,0.007978845608028652,0.85676736438289,80.742482808068,2882,2882.0,1,1.2861247323730407e-05,1.254845790718672e-05
25,0.007978845608028652,0.85678945642481,80.69008233567,2886,2886.0,1,1.2955794341115525e-05,1.2640393721100176e-05
