Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.007071067811865475,0.8316663958660799,103.52803112998001,4325,4325.0,1,1.041167664717276e-05,1.0231365372045504e-05
2,0.007071067811865474,0.8320801902811199,103.26926101504999,4313,4313.0,1,1.0442499580754116e-05,1.0264268916893104e-05
3,0.007071067811865474,0.83163396530615,103.59918995316,4324,4324.0,1,1.0363671625898253e-05,1.0185532829160242e-05
4,0.007071067811865475,0.8317408553467199,103.47065605559999,4319,4319.0,1,1.0330216075060912e-05,1.0152985715955791e-05
5,0.007071067811865474,0.83200007055192,103.34948166278,4313,4313.0,1,1.0361524322003923e-05,1.0183569246202929e-05
6,0.007071067811865474,0.8317873540069101,103.44767180014,4320,4320.0,1,1.0324734585279058e-05,1.0143822239842332e-05
7,0.007071067811865475,0.8317773782936301,103.45798469382,4322,4322.0,1,1.0402566180204402e-05,1.02245536977193e-05
8,0.007071067811865474,0.8316335322309599,103.5538767101,4320,4320.0,1,1.021897568745776e-05,1.0038995742627047e-05
9,0.007071067811865474,0.83208594612682,103.25771675448,4316,4316.0,1,1.0528693713823707e-05,1.034929342299023e-05
10,0.007071067811865475,0.8315890827914301,103.61496460014999,4325,4325.0,1,1.0346514837784218e-05,1.0168885564024683e-05
11,0.007071067811865474,0.8314991906227001,103.61582720653999,4329,4329.0,1,1.0310896008568457e-05,1.0133243841968179e-05
12,0.007071067811865474,0.83168428645038,103.58677989897,4321,4321.0,1,1.0194459468123726e-05,1.0018638221696191e-05
13,0.007071067811865474,0.83190576595985,103.41846846915001,4314,4314.0,1,1.028805364108411e-05,1.0108384308371354e-05
14,0.007071067811865474,0.83165181525997,103.56493229338001,4321,4321.0,1,1.0166735902726136e-05,9.986514874036807e-06
15,0.007071067811865475,0.83147987799098,103.69102257635001,4325,4325.0,1,1.0244483184547739e-05,1.0067317071869786e-05
16,0.007071067811865474,0.8316129158677501,103.60613455913,4320,4320.0,1,1.0251834470513807e-05,1.007254584060596e-05
17,0.007071067811865475,0.83155826064252,103.61970495901,4325,4325.0,1,1.0235572972077315e-05,1.0054350950284562e-05
18,0.007071067811865474,0.8317302422899,103.48343878656999,4321,4321.0,1,1.0399228054408853e-05,1.0218557991498211e-05
19,0.007071067811865475,0.83165185317075,103.54785455647,4322,4322.0,1,1.0275265326250163e-05,1.0098739432295884e-05
20,0.007071067811865474,0.83197795354519,103.39118639491,4315,4315.0,1,1.0363232388348242e-05,1.0186704431329097e-05
21,0.007071067811865474,0.83153434191938,103.58480667771,4327,4327.0,1,1.0316269306174726e-05,1.0137664934197147e-05
22,0.007071067811865474,0.83181405967178,103.48164753716999,4318,4318.0,1,1.037432617771592e-05,1.019509317256363e-05
23,0.007071067811865474,0.8316663197044499,103.53782854202,4323,4323.0,1,1.0218306816403148e-05,1.0041214235711481e-05
24,0.007071067811865474,0.83144741009636,103.70319912432,4324,4324.0,1,1.0187536746953879e-05,1.0011191285124482e-05
25,0.007071067811865475,0.8317552264435001,103.49261094635,4322,4322.0,1,1.009671561929736e-05,9.916831706510592e-06
