Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.006197937847207051,0.93644610045826,76.717465073263,4325,4325.0,1,1.3892142247131776e-05,1.3499153499414303e-05
2,0.00619793784720705,0.87088161797316,109.00805884862,4313,4313.0,1,8.19553027092055e-06,7.903281403711318e-06
3,0.00619793784720705,0.8705497218468901,109.31422489261999,4324,4324.0,1,8.12810447651041e-06,7.836155949276375e-06
4,0.006197937847207051,0.87061043338751,109.24351546953001,4319,4319.0,1,8.073693838673724e-06,7.782457104822703e-06
5,0.00619793784720705,0.8707875392615799,109.09213061903999,4313,4313.0,1,8.124639670177294e-06,7.83350988229416e-06
6,0.00619793784720705,0.87065771889295,109.1835457256,4320,4320.0,1,8.107254897561163e-06,7.812049377218098e-06
7,0.006197937847207051,0.87062590458664,109.22744875829001,4322,4322.0,1,8.167388413493246e-06,7.876104788169456e-06
8,0.00619793784720705,0.870495336936,109.32626198626998,4320,4320.0,1,7.99456523407908e-06,7.7010545441482e-06
9,0.00619793784720705,0.87087195585122,109.0368213175,4316,4316.0,1,8.271089913045922e-06,7.977299107310975e-06
10,0.006197937847207051,0.8705022821271099,109.35791044038,4325,4325.0,1,8.11033695518824e-06,7.81853619244721e-06
11,0.00619793784720705,0.87037545995908,109.41493683091,4329,4329.0,1,8.059253919344171e-06,7.767635696257627e-06
12,0.00619793784720705,0.87056480690256,109.32978881871,4321,4321.0,1,8.009886020500233e-06,7.723272612740198e-06
13,0.00619793784720705,0.87072532834379,109.17616675301001,4314,4314.0,1,8.058168543115909e-06,7.76509725370058e-06
14,0.00619793784720705,0.87052334241219,109.33731011923,4321,4321.0,1,7.963499116099663e-06,7.67196271640628e-06
15,0.006197937847207051,0.8704023520500199,109.46615449898,4325,4325.0,1,8.010883259985027e-06,7.72160481795236e-06
16,0.00619793784720705,0.87049416821483,109.35637877308001,4320,4320.0,1,8.046297508015946e-06,7.754393933401657e-06
17,0.006197937847207051,0.8704649239430401,109.38274380426,4325,4325.0,1,8.020542049460284e-06,7.726669739434796e-06
18,0.00619793784720705,0.8705965698722701,109.25266181052,4321,4321.0,1,8.17743418132385e-06,7.884143078354353e-06
19,0.006197937847207051,0.8705466584068,109.30959513874001,4322,4322.0,1,8.035490282680933e-06,7.746871666119442e-06
20,0.00619793784720705,0.8708023056892601,109.14722271338002,4315,4315.0,1,8.133920958246215e-06,7.844130497019818e-06
21,0.00619793784720705,0.87042175290096,109.35785465203001,4327,4327.0,1,8.076397891300042e-06,7.784092422996047e-06
22,0.00619793784720705,0.8706796238894899,109.23078327392,4318,4318.0,1,8.126886452766124e-06,7.833844756131582e-06
23,0.00619793784720705,0.87051838112706,109.31014051134001,4323,4323.0,1,8.008158931746306e-06,7.717755210702073e-06
24,0.00619793784720705,0.87037421370658,109.46745602085,4324,4324.0,1,7.964101356922928e-06,7.675832115113468e-06
25,0.006197937847207051,0.87060374569854,109.23943364041,4322,4322.0,1,7.885752062919034e-06,7.595206226689094e-06
