Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.006234356713374624,0.93845225672602,50.06778549989,1560,1560.0,1,2.9571004282156964e-05,2.912463954707455e-05
2,0.0062232360231434785,0.9375680585048001,50.995170745711,1570,1570.0,1,2.859435185107764e-05,2.8161324987600165e-05
3,0.006233565511210744,0.93725774320527,51.250177294286004,1580,1580.0,1,2.827068623723803e-05,2.7830354149778696e-05
4,0.006207561181360917,0.9375465966794699,50.6719086723,1596,1596.0,1,2.880004904388585e-05,2.83672704465766e-05
5,0.006245391274800018,0.93749702033661,50.732237194065,1577,1577.0,1,2.9231787612529465e-05,2.8790306799451902e-05
6,0.006227887260098217,0.9366912770433199,51.36471738333201,1606,1606.0,1,2.830809070802172e-05,2.7866041871963376e-05
7,0.006226355372521011,0.93892961109352,49.858227731344,1535,1535.0,1,3.0028317953098137e-05,2.9573319469045168e-05
8,0.006236684730856375,0.9377343899558701,50.36661500964001,1593,1593.0,1,2.9305554898857076e-05,2.88694673087792e-05
9,0.006235283324778806,0.93756768189767,50.507761490835,1600,1600.0,1,2.934368759014001e-05,2.8903465470631156e-05
10,0.0062138521403392565,0.9370212484636199,51.257856577446006,1605,1605.0,1,2.8514656936324924e-05,2.8080897030451477e-05
11,0.006236632549390125,0.93494435391425,52.544264095417994,1654,1654.0,1,2.8178126295182995e-05,2.775227061506567e-05
12,0.006239436362341185,0.93747675259239,50.386951708603,1606,1606.0,1,2.935504620884547e-05,2.8905796225084944e-05
13,0.006253905998157068,0.9380644614614101,49.806791718039,1583,1583.0,1,2.998089520176323e-05,2.9536316944710097e-05
14,0.0062300106285818335,0.93750794242013,50.801793571701005,1578,1578.0,1,2.8750003023803997e-05,2.8302945277187937e-05
15,0.0062231326040314006,0.93859250308063,50.011498224373,1551,1551.0,1,2.9738790513855363e-05,2.9282684869861928e-05
16,0.0062612263993444975,0.93565906508095,52.177316424966,1601,1601.0,1,2.7744349381979315e-05,2.7320368011129582e-05
