Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.0070438133961717815,0.97679502797554,18.751046319651998,983,983.0,1,0.00013146873087805657,0.00012996916866424616
2,0.006983764667234487,0.97747830372078,18.190350747148,945,945.0,1,0.0001324878159340028,0.00013097620630923097
3,0.007014878673379279,0.97808739191075,17.70417920095,921,921.0,1,0.00013706004180103225,0.00013550532467003097
4,0.0069863109131444445,0.9772765023542801,18.358511393392998,948,948.0,1,0.00013395939297050738,0.00013245089413803924
5,0.0070105096260092425,0.9776564204424399,18.049084258744,936,936.0,1,0.00013616759227572404,0.00013463466124249686
6,0.006974862775782967,0.9774643327449201,18.205895368814,941,941.0,1,0.00012896577922584575,0.00012749344944027846
7,0.007031106727124117,0.97776800257396,17.961925415636,930,930.0,1,0.00013447354534242324,0.00013294040355394808
8,0.006976933009780087,0.97726122038839,18.372110861282998,951,951.0,1,0.00013387868242523002,0.00013237500943003434
9,0.007029189561739603,0.9774232499999301,18.244769168175,941,941.0,1,0.0001330262498390122,0.00013154265912737313
10,0.007035406380288344,0.97666686540028,18.85232929494,976,976.0,1,0.00012644837248164986,0.00012497100088570796
11,0.006963607883536978,0.9778513794281,17.888638099342998,924,924.0,1,0.00014283486920832207,0.0001412392039914232
12,0.006994114303512472,0.9776905487969499,18.022919952411,934,934.0,1,0.00014081230081488896,0.00013926415238089572
13,0.007005664526231918,0.97655879291693,18.930645404841002,981,981.0,1,0.00012345607487041028,0.0001219993542357408
14,0.00699862694976602,0.9780730734155499,17.714914494168998,917,917.0,1,0.000136708677741587,0.00013518488225920512
15,0.006986670043659813,0.97826104880135,17.559765008961,904,904.0,1,0.00014026974275291277,0.0001387057031212779
16,0.006971245872889726,0.97667596974085,18.833801343414,974,974.0,1,0.00013020510644562357,0.00012871123886831732
