Sample,Avg_diameter,Porosity,Surface,Euler_total,Euler_mean_vol,Euler_mean_shape,Permeability,Energy
1,0.006953730854128171,0.9835741626215899,13.269702177161,680,680.0,1,0.00020600423669983497,0.0002039221228939258
2,0.006958529433069419,0.98446401813143,12.551289562689,651,651.0,1,0.00024057303109157566,0.00023831932794434312
3,0.006974001413309512,0.9845711249998801,12.468413872662001,644,644.0,1,0.0002299486245280427,0.00022774880783103132
4,0.006938238467628254,0.9839552906190501,12.962261039062,666,666.0,1,0.00025067449821836917,0.0002483085810149002
5,0.00693573077735205,0.98368098921489,13.1869397354,675,675.0,1,0.00021814673055380404,0.0002160723436354204
6,0.0069153198781864095,0.9844179999999,12.59215755937,647,647.0,1,0.00022691845770080664,0.00022477619076872066
7,0.006906423695565465,0.9840259999998701,12.908941397341001,663,663.0,1,0.00023135126289209842,0.00022916876098771758
8,0.006924931873510599,0.98399537499989,12.933690134683001,665,665.0,1,0.00021658579856058147,0.00021447719541562232
9,0.006959950417769432,0.98314399999988,13.621705032777,699,699.0,1,0.0002061013323119754,0.00020410922639316773
10,0.006885154519834953,0.9841117499998701,12.839644932785001,657,657.0,1,0.0002170707000951754,0.00021492570170566293
11,0.006896501771769683,0.98436247521023,12.634391952268,648,648.0,1,0.0002369340347951697,0.0002347052078217101
12,0.006949424289478308,0.9840582585102099,12.881057748414,664,664.0,1,0.00022737671144280986,0.0002251648195591878
13,0.006903750460346976,0.98511012499987,12.032836095451,622,622.0,1,0.00025917714293333826,0.00025676765520794273
14,0.006956057395322784,0.98373585885053,13.140020317234,677,677.0,1,0.0002145923944539213,0.0002124794058560991
15,0.006904855102481106,0.98413624999989,12.819845942912,663,663.0,1,0.0002210540908537962,0.00021888480746442787
16,0.006937553482720423,0.98413589662079,12.817513855882002,659,659.0,1,0.00023494720803637578,0.00023268398517642538
